# Game Session ID 
0 
### Session Start ### 
# Game ID 
0 
# Begin play Date and Time 
 3 / 5 / 2013    20:34:24 
# With Fead back 
 True  
# With Visible Trajectory 
 False  
### Game start ### 
 # Throw number 1 of 5
# Type of Balls 
 Ball 0 -> Good ball 
 Ball 1 -> Ok ball 
 Ball 2 -> Bad ball 
# Trajectory par ball 
 Ball 0                               	 Ball 1                               	 Ball 2                               	 Ball 3                               	 Ball 4                               	 Ball 5                               	
X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
                    	                    	                    	                    	                    	                    	
# Throw number 2 of 5
# Type of Balls 
 Ball 0 -> Good ball 
 Ball 1 -> Ok ball 
 Ball 2 -> Bad ball 
 Ball 3 -> Bad ball 
# Trajectory par ball 
 Ball 0                               	 Ball 1                               	 Ball 2                               	 Ball 3                               	 Ball 4                               	 Ball 5                               	
X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	
 3.990000 30.000000 3.500000 	 0.000000 30.000000 3.500000 	 11.990000 30.000000 3.500000 	 -4.020000 30.000000 3.500000 	                    	                    	
 4.000000 29.773062 3.546700 	 0.000000 29.773062 3.535638 	 12.000000 29.773062 3.563718 	 -4.000000 29.773062 3.518620 	                    	                    	
 4.010000 29.546122 3.593199 	 0.000000 29.546122 3.571076 	 12.010000 29.546122 3.627235 	 -3.980000 29.546122 3.537040 	                    	                    	
 4.020000 29.319183 3.639499 	 0.000000 29.319183 3.606314 	 12.020000 29.319183 3.690553 	 -3.960000 29.319183 3.555260 	                    	                    	
 4.030000 29.092243 3.685599 	 0.000000 29.092243 3.641352 	 12.030000 29.092243 3.753671 	 -3.940000 29.092243 3.573280 	                    	                    	
 4.040000 28.865305 3.731498 	 0.000000 28.865305 3.676190 	 12.040000 28.865305 3.816589 	 -3.920000 28.865305 3.591100 	                    	                    	
 4.050000 28.638365 3.777198 	 0.000000 28.638365 3.710828 	 12.050000 28.638365 3.879307 	 -3.900000 28.638365 3.608719 	                    	                    	
 4.060000 28.411427 3.822698 	 0.000000 28.411427 3.745265 	 12.060000 28.411427 3.941824 	 -3.880000 28.411427 3.626139 	                    	                    	
 4.070000 28.184488 3.867997 	 0.000000 28.184488 3.779504 	 12.070000 28.184488 4.004142 	 -3.860000 28.184488 3.643359 	                    	                    	
 4.080000 27.957548 3.913097 	 0.000000 27.957548 3.813541 	 12.080000 27.957548 4.066260 	 -3.840000 27.957548 3.660379 	                    	                    	
 4.090000 27.730610 3.957997 	 0.000000 27.730610 3.847379 	 12.090000 27.730610 4.128178 	 -3.820000 27.730610 3.677199 	                    	                    	
 4.100000 27.503670 4.002697 	 0.000000 27.503670 3.881017 	 12.100000 27.503670 4.189895 	 -3.800000 27.503670 3.693819 	                    	                    	
 4.110000 27.276731 4.047196 	 0.000000 27.276731 3.914455 	 12.110000 27.276731 4.251413 	 -3.780000 27.276731 3.710238 	                    	                    	
 4.120000 27.049793 4.091496 	 0.000000 27.049793 3.947693 	 12.120000 27.049793 4.312731 	 -3.760000 27.049793 3.726458 	                    	                    	
 4.130000 26.822853 4.135596 	 0.000000 26.822853 3.980731 	 12.130000 26.822853 4.373848 	 -3.740000 26.822853 3.742478 	                    	                    	
 4.140000 26.595913 4.179495 	 0.000000 26.595913 4.013569 	 12.140000 26.595913 4.434766 	 -3.720000 26.595913 3.758298 	                    	                    	
 4.150000 26.368975 4.223195 	 0.000000 26.368975 4.046207 	 12.150000 26.368975 4.495484 	 -3.700000 26.368975 3.773918 	                    	                    	
 4.160000 26.142036 4.266695 	 0.000000 26.142036 4.078645 	 12.160000 26.142036 4.556002 	 -3.680000 26.142036 3.789338 	                    	                    	
 4.170000 25.915096 4.309995 	 0.000000 25.915096 4.110883 	 12.170000 25.915096 4.616320 	 -3.660000 25.915096 3.804558 	                    	                    	
 4.180000 25.688156 4.353094 	 0.000000 25.688156 4.142921 	 12.180000 25.688156 4.676437 	 -3.640000 25.688156 3.819578 	                    	                    	
 4.190000 25.461218 4.395994 	 0.000000 25.461218 4.174759 	 12.190000 25.461218 4.736355 	 -3.620000 25.461218 3.834398 	                    	                    	
 4.200000 25.234280 4.438694 	 0.000000 25.234280 4.206397 	 12.200000 25.234280 4.796073 	 -3.600000 25.234280 3.849017 	                    	                    	
 4.210000 25.007339 4.481194 	 0.000000 25.007339 4.237835 	 12.210000 25.007339 4.855591 	 -3.580000 25.007339 3.863437 	                    	                    	
 4.220000 24.780399 4.523493 	 0.000000 24.780399 4.269073 	 12.220000 24.780399 4.914909 	 -3.560000 24.780399 3.877657 	                    	                    	
 4.230000 24.553461 4.565593 	 0.000000 24.553461 4.300111 	 12.230000 24.553461 4.974027 	 -3.540000 24.553461 3.891677 	                    	                    	
 4.240000 24.326523 4.607492 	 0.000000 24.326523 4.330949 	 12.240000 24.326523 5.032944 	 -3.520000 24.326523 3.905497 	                    	                    	
 4.250000 24.099583 4.649192 	 0.000000 24.099583 4.361587 	 12.250000 24.099583 5.091662 	 -3.500000 24.099583 3.919117 	                    	                    	
 4.260000 23.872644 4.690692 	 0.000000 23.872644 4.392025 	 12.260000 23.872644 5.150180 	 -3.480000 23.872644 3.932537 	                    	                    	
 4.270000 23.645706 4.731991 	 0.000000 23.645706 4.422263 	 12.270000 23.645706 5.208498 	 -3.460000 23.645706 3.945757 	                    	                    	
 4.280000 23.418766 4.773091 	 0.000000 23.418766 4.452301 	 12.280000 23.418766 5.266615 	 -3.440000 23.418766 3.958776 	                    	                    	
 4.290000 23.191828 4.813991 	 0.000000 23.191828 4.482138 	 12.290000 23.191828 5.324533 	 -3.420000 23.191828 3.971596 	                    	                    	
 4.300000 22.964890 4.854691 	 0.000000 22.964890 4.511776 	 12.300000 22.964890 5.382250 	 -3.400000 22.964890 3.984216 	                    	                    	
 4.310000 22.737949 4.895190 	 0.000000 22.737949 4.541214 	 12.310000 22.737949 5.439768 	 -3.380000 22.737949 3.996636 	                    	                    	
 4.320000 22.511011 4.935490 	 0.000000 22.511011 4.570452 	 12.320000 22.511011 5.497086 	 -3.360000 22.511011 4.008856 	                    	                    	
 4.330000 22.284073 4.975589 	 0.000000 22.284073 4.599490 	 12.330000 22.284073 5.554204 	 -3.340000 22.284073 4.020876 	                    	                    	
 4.340000 22.057133 5.015489 	 0.000000 22.057133 4.628328 	 12.340000 22.057133 5.611121 	 -3.320000 22.057133 4.032696 	                    	                    	
 4.350000 21.830194 5.055189 	 0.000000 21.830194 4.656966 	 12.350000 21.830194 5.667839 	 -3.300000 21.830194 4.044315 	                    	                    	
 4.360000 21.603256 5.094688 	 0.000000 21.603256 4.685404 	 12.360000 21.603256 5.724357 	 -3.280000 21.603256 4.055736 	                    	                    	
 4.370000 21.376316 5.133988 	 0.000000 21.376316 4.713642 	 12.370000 21.376316 5.780674 	 -3.260000 21.376316 4.066955 	                    	                    	
 4.380000 21.149378 5.173088 	 0.000000 21.149378 4.741680 	 12.380000 21.149378 5.836792 	 -3.240000 21.149378 4.077975 	                    	                    	
 4.390000 20.922440 5.211987 	 0.000000 20.922440 4.769517 	 12.390000 20.922440 5.892710 	 -3.220000 20.922440 4.088795 	                    	                    	
 4.400000 20.695499 5.250687 	 0.000000 20.695499 4.797155 	 12.400000 20.695499 5.948428 	 -3.200000 20.695499 4.099415 	                    	                    	
 4.410000 20.468561 5.289186 	 0.000000 20.468561 4.824594 	 12.410000 20.468561 6.003945 	 -3.180000 20.468561 4.109835 	                    	                    	
 4.420000 20.241623 5.327486 	 0.000000 20.241623 4.851831 	 12.420000 20.241623 6.059263 	 -3.160000 20.241623 4.120055 	                    	                    	
 4.430000 20.014683 5.365586 	 0.000000 20.014683 4.878869 	 12.430000 20.014683 6.114381 	 -3.140000 20.014683 4.130075 	                    	                    	
 4.440000 19.787745 5.403486 	 0.000000 19.787745 4.905707 	 12.440000 19.787745 6.169299 	 -3.120000 19.787745 4.139894 	                    	                    	
 4.450000 19.560806 5.441185 	 0.000000 19.560806 4.932345 	 12.450000 19.560806 6.224016 	 -3.100000 19.560806 4.149514 	                    	                    	
 4.460000 19.333866 5.478685 	 0.000000 19.333866 4.958783 	 12.460000 19.333866 6.278534 	 -3.080000 19.333866 4.158934 	                    	                    	
 4.470000 19.106928 5.515985 	 0.000000 19.106928 4.985021 	 12.470000 19.106928 6.332851 	 -3.060000 19.106928 4.168154 	                    	                    	
 4.480000 18.879990 5.553084 	 0.000000 18.879990 5.011059 	 12.480000 18.879990 6.386970 	 -3.040000 18.879990 4.177174 	                    	                    	
 4.490000 18.653049 5.589984 	 0.000000 18.653049 5.036897 	 12.490000 18.653049 6.440887 	 -3.020000 18.653049 4.185994 	                    	                    	
 4.500000 18.426109 5.626684 	 0.000000 18.426109 5.062535 	 12.500000 18.426109 6.494605 	 -3.000000 18.426109 4.194613 	                    	                    	
 4.510000 18.199173 5.663183 	 0.000000 18.199173 5.087973 	 12.510000 18.199173 6.548122 	 -2.980000 18.199173 4.203033 	                    	                    	
 4.520000 17.972233 5.699483 	 0.000000 17.972233 5.113211 	 12.520000 17.972233 6.601440 	 -2.960001 17.972233 4.211253 	                    	                    	
 4.530000 17.745293 5.735583 	 0.000000 17.745293 5.138248 	 12.530000 17.745293 6.654558 	 -2.940001 17.745293 4.219273 	                    	                    	
 4.540000 17.518356 5.771482 	 0.000000 17.518356 5.163086 	 12.540000 17.518356 6.707476 	 -2.920001 17.518356 4.227093 	                    	                    	
 4.550000 17.291416 5.807182 	 0.000000 17.291416 5.187725 	 12.550000 17.291416 6.760193 	 -2.900001 17.291416 4.234713 	                    	                    	
 4.560000 17.064476 5.842681 	 0.000000 17.064476 5.212162 	 12.559999 17.064476 6.812711 	 -2.880001 17.064476 4.242133 	                    	                    	
 4.570000 16.837540 5.877981 	 0.000000 16.837540 5.236400 	 12.570000 16.837540 6.865029 	 -2.860001 16.837540 4.249353 	                    	                    	
 4.580000 16.610600 5.913081 	 0.000000 16.610600 5.260438 	 12.580000 16.610600 6.917147 	 -2.840001 16.610600 4.256372 	                    	                    	
 4.590000 16.383659 5.947981 	 0.000000 16.383659 5.284276 	 12.590000 16.383659 6.969064 	 -2.820001 16.383659 4.263193 	                    	                    	
 4.600000 16.156723 5.982680 	 0.000000 16.156723 5.307914 	 12.599999 16.156723 7.020782 	 -2.800001 16.156723 4.269812 	                    	                    	
 4.610000 15.929783 6.017180 	 0.000000 15.929783 5.331352 	 12.610000 15.929783 7.072300 	 -2.780001 15.929783 4.276232 	                    	                    	
 4.620000 15.702845 6.051480 	 0.000000 15.702845 5.354590 	 12.620000 15.702845 7.123618 	 -2.760001 15.702845 4.282452 	                    	                    	
 4.630000 15.475905 6.085579 	 0.000000 15.475905 5.377628 	 12.630000 15.475905 7.174735 	 -2.740001 15.475905 4.288472 	                    	                    	
 4.640000 15.248966 6.119479 	 0.000000 15.248966 5.400466 	 12.639999 15.248966 7.225653 	 -2.720001 15.248966 4.294292 	                    	                    	
 4.650000 15.022028 6.153179 	 0.000000 15.022028 5.423104 	 12.650000 15.022028 7.276371 	 -2.700001 15.022028 4.299912 	                    	                    	
 4.660000 14.795089 6.186678 	 0.000000 14.795089 5.445541 	 12.660000 14.795089 7.326889 	 -2.680001 14.795089 4.305332 	                    	                    	
 4.670000 14.568150 6.219978 	 0.000000 14.568150 5.467780 	 12.670000 14.568150 7.377206 	 -2.660001 14.568150 4.310552 	                    	                    	
 4.680000 14.341211 6.253078 	 0.000000 14.341211 5.489818 	 12.679999 14.341211 7.427324 	 -2.640001 14.341211 4.315571 	                    	                    	
 4.690000 14.114272 6.285977 	 0.000000 14.114272 5.511655 	 12.690000 14.114272 7.477242 	 -2.620001 14.114272 4.320391 	                    	                    	
 4.700000 13.887333 6.318677 	 0.000000 13.887333 5.533293 	 12.700000 13.887333 7.526959 	 -2.600001 13.887333 4.325011 	                    	                    	
 4.710000 13.660395 6.351177 	 0.000000 13.660395 5.554731 	 12.710000 13.660395 7.576477 	 -2.580001 13.660395 4.329431 	                    	                    	
 4.720000 13.433455 6.383476 	 0.000000 13.433455 5.575969 	 12.719999 13.433455 7.625795 	 -2.560001 13.433455 4.333651 	                    	                    	
 4.730000 13.206516 6.415576 	 0.000000 13.206516 5.597007 	 12.730000 13.206516 7.674912 	 -2.540001 13.206516 4.337671 	                    	                    	
 4.740000 12.979578 6.447475 	 0.000000 12.979578 5.617845 	 12.740000 12.979578 7.723830 	 -2.520001 12.979578 4.341491 	                    	                    	
 4.750000 12.752638 6.479176 	 0.000000 12.752638 5.638483 	 12.750000 12.752638 7.772548 	 -2.500001 12.752638 4.345110 	                    	                    	
 4.760000 12.525700 6.510675 	 0.000000 12.525700 5.658921 	 12.759999 12.525700 7.821066 	 -2.480001 12.525700 4.348530 	                    	                    	
 4.770000 12.298761 6.541975 	 0.000000 12.298761 5.679159 	 12.770000 12.298761 7.869383 	 -2.460001 12.298761 4.351750 	                    	                    	
 4.780000 12.071821 6.573074 	 0.000000 12.071821 5.699197 	 12.780000 12.071821 7.917501 	 -2.440001 12.071821 4.354770 	                    	                    	
 4.789999 11.844883 6.603974 	 0.000000 11.844883 5.719035 	 12.790000 11.844883 7.965419 	 -2.420001 11.844883 4.357590 	                    	                    	
 4.800000 11.617945 6.634674 	 0.000000 11.617945 5.738673 	 12.799999 11.617945 8.013137 	 -2.400001 11.617945 4.360210 	                    	                    	
 4.809999 11.391006 6.665174 	 0.000000 11.391006 5.758111 	 12.809999 11.391006 8.060655 	 -2.380001 11.391006 4.362630 	                    	                    	
 4.820000 11.164066 6.695473 	 0.000000 11.164066 5.777349 	 12.820000 11.164066 8.107972 	 -2.360001 11.164066 4.364850 	                    	                    	
 4.829999 10.937128 6.725573 	 0.000000 10.937128 5.796387 	 12.830000 10.937128 8.155089 	 -2.340001 10.937128 4.366869 	                    	                    	
 4.840000 10.710190 6.755472 	 0.000000 10.710190 5.815225 	 12.839999 10.710190 8.202007 	 -2.320001 10.710190 4.368690 	                    	                    	
 4.849999 10.483250 6.785172 	 0.000000 10.483250 5.833862 	 12.849999 10.483250 8.248725 	 -2.300001 10.483250 4.370309 	                    	                    	
 4.860000 10.256311 6.814672 	 0.000000 10.256311 5.852300 	 12.860000 10.256311 8.295243 	 -2.280001 10.256311 4.371729 	                    	                    	
 4.869999 10.029373 6.843971 	 0.000000 10.029373 5.870538 	 12.870000 10.029373 8.341560 	 -2.260001 10.029373 4.372949 	                    	                    	
 4.880000 9.802433 6.873071 	 0.000000 9.802433 5.888576 	 12.879999 9.802433 8.387678 	 -2.240001 9.802433 4.373969 	                    	                    	
 4.889999 9.575495 6.901971 	 0.000000 9.575495 5.906414 	 12.889999 9.575495 8.433597 	 -2.220001 9.575495 4.374789 	                    	                    	
 4.900000 9.348557 6.930670 	 0.000000 9.348557 5.924052 	 12.900000 9.348557 8.479314 	 -2.200001 9.348557 4.375409 	                    	                    	
 4.909999 9.121616 6.959170 	 0.000000 9.121616 5.941490 	 12.910000 9.121616 8.524832 	 -2.180001 9.121616 4.375829 	                    	                    	
 4.920000 8.894678 6.987470 	 0.000000 8.894678 5.958728 	 12.919999 8.894678 8.570149 	 -2.160001 8.894678 4.376049 	                    	                    	
 4.929999 8.667740 7.015570 	 0.000000 8.667740 5.975766 	 12.929999 8.667740 8.615267 	 -2.140001 8.667740 4.376069 	                    	                    	
 4.940000 8.440800 7.043469 	 0.000000 8.440800 5.992604 	 12.940000 8.440800 8.660185 	 -2.120001 8.440800 4.375888 	                    	                    	
 4.949999 8.213861 7.071169 	 0.000000 8.213861 6.009242 	 12.950000 8.213861 8.704903 	 -2.100001 8.213861 4.375508 	                    	                    	
 4.960000 7.986923 7.098669 	 0.000000 7.986923 6.025680 	 12.959999 7.986923 8.749420 	 -2.080001 7.986923 4.374928 	                    	                    	
 4.969999 7.759983 7.125968 	 0.000000 7.759983 6.041918 	 12.969999 7.759983 8.793738 	 -2.060001 7.759983 4.374148 	                    	                    	
 4.980000 7.533045 7.153068 	 0.000000 7.533045 6.057956 	 12.980000 7.533045 8.837855 	 -2.040001 7.533045 4.373168 	                    	                    	
 4.989999 7.306107 7.179967 	 0.000000 7.306107 6.073793 	 12.990000 7.306107 8.881773 	 -2.020001 7.306107 4.371988 	                    	                    	
 5.000000 7.079166 7.206667 	 0.000000 7.079166 6.089432 	 12.999999 7.079166 8.925491 	 -2.000001 7.079166 4.370608 	                    	                    	
 5.009999 6.852226 7.233167 	 0.000000 6.852226 6.104869 	 13.009999 6.852226 8.969009 	 -1.980001 6.852226 4.369028 	                    	                    	
 5.020000 6.625288 7.259467 	 0.000000 6.625288 6.120108 	 13.020000 6.625288 9.012327 	 -1.960001 6.625288 4.367248 	                    	                    	
 5.029999 6.398350 7.285566 	 0.000000 6.398350 6.135146 	 13.030000 6.398350 9.055445 	 -1.940001 6.398350 4.365267 	                    	                    	
 5.039999 6.171410 7.311466 	 0.000000 6.171410 6.149983 	 13.039999 6.171410 9.098362 	 -1.920001 6.171410 4.363087 	                    	                    	
 5.049999 5.944471 7.337166 	 0.000000 5.944471 6.164621 	 13.049999 5.944471 9.141080 	 -1.900001 5.944471 4.360707 	                    	                    	
 5.059999 5.717533 7.362666 	 0.000000 5.717533 6.179060 	 13.059999 5.717533 9.183598 	 -1.880001 5.717533 4.358127 	                    	                    	
 5.069999 5.490593 7.387965 	 0.000000 5.490593 6.193297 	 13.070000 5.490593 9.225916 	 -1.860001 5.490593 4.355347 	                    	                    	
 5.079999 5.263655 7.413065 	 0.000000 5.263655 6.207335 	 13.079999 5.263655 9.268033 	 -1.840001 5.263655 4.352367 	                    	                    	
 5.089999 5.036716 7.437964 	 0.000000 5.036716 6.221173 	 13.089999 5.036716 9.309951 	 -1.820001 5.036716 4.349187 	                    	                    	
 5.099999 4.809776 7.462664 	 0.000000 4.809776 6.234811 	 13.099999 4.809776 9.351668 	 -1.800001 4.809776 4.345807 	                    	                    	
 5.109999 4.582838 7.487164 	 0.000000 4.582838 6.248249 	 13.110000 4.582838 9.393187 	 -1.780001 4.582838 4.342227 	                    	                    	
 5.119999 4.355900 7.511464 	 0.000000 4.355900 6.261487 	 13.119999 4.355900 9.434505 	 -1.760001 4.355900 4.338447 	                    	                    	
 5.129999 4.128960 7.535563 	 0.000000 4.128960 6.274525 	 13.129999 4.128960 9.475622 	 -1.740001 4.128960 4.334466 	                    	                    	
 5.139999 3.902021 7.559463 	 0.000000 3.902021 6.287363 	 13.139999 3.902021 9.516540 	 -1.720001 3.902021 4.330286 	                    	                    	
 5.149999 3.675083 7.583163 	 0.000000 3.675083 6.300001 	 13.150000 3.675083 9.557258 	 -1.700001 3.675083 4.325906 	                    	                    	
 5.159999 3.448143 7.606662 	 0.000000 3.448143 6.312438 	 13.159999 3.448143 9.597775 	 -1.680001 3.448143 4.321326 	                    	                    	
 5.169999 3.221205 7.629962 	 0.000000 3.221205 6.324677 	 13.169999 3.221205 9.638093 	 -1.660002 3.221205 4.316546 	                    	                    	
 5.179999 2.994267 7.653062 	 0.000000 2.994267 6.336715 	 13.179999 2.994267 9.678211 	 -1.640002 2.994267 4.311566 	                    	                    	
 5.189999 2.767326 7.675961 	 0.000000 2.767326 6.348553 	 13.190000 2.767326 9.718128 	 -1.620002 2.767326 4.306386 	                    	                    	
 5.199999 2.540388 7.698661 	 0.000000 2.540388 6.360190 	 13.199999 2.540388 9.757846 	 -1.600002 2.540388 4.301006 	                    	                    	
 5.209999 2.313450 7.721161 	 0.000000 2.313450 6.371628 	 13.209999 2.313450 9.797364 	 -1.580002 2.313450 4.295425 	                    	                    	
 5.219999 2.086510 7.743461 	 0.000000 2.086510 6.382866 	 13.219999 2.086510 9.836681 	 -1.560002 2.086510 4.289646 	                    	                    	
 5.229999 1.859571 7.765560 	 0.000000 1.859571 6.393904 	 13.230000 1.859571 9.875799 	 -1.540002 1.859571 4.283665 	                    	                    	
 5.239999 1.632633 7.787460 	 0.000000 1.632633 6.404742 	 13.239999 1.632633 9.914717 	 -1.520002 1.632633 4.277485 	                    	                    	
 5.249999 1.405693 7.809160 	 0.000000 1.405693 6.415380 	 13.249999 1.405693 9.953435 	 -1.500002 1.405693 4.271105 	                    	                    	
 5.259999 1.178755 7.830659 	 0.000000 1.178755 6.425818 	 13.259999 1.178755 9.991953 	 -1.480002 1.178755 4.264525 	                    	                    	
 5.269999 0.951817 7.851959 	 0.000000 0.951817 6.436056 	 13.270000 0.951817 10.030271 	 -1.460002 0.951817 4.257745 	                    	                    	
 5.279999 0.724876 7.873058 	 0.000000 0.724876 6.446094 	 13.279999 0.724876 10.068388 	 -1.440002 0.724876 4.250765 	                    	                    	
 5.289999 0.497938 7.893958 	 0.000000 0.497938 6.455932 	 13.289999 0.497938 10.106306 	 -1.420002 0.497938 4.243585 	                    	                    	
 5.299999 0.271000 7.914658 	 0.000000 0.271000 6.465570 	 13.299999 0.271000 10.144024 	 -1.400002 0.271000 4.236205 	                    	                    	
 5.309999 0.044060 7.935158 	 0.000000 0.044060 6.475008 	 13.309999 0.044060 10.181541 	 -1.380002 0.044060 4.228624 	                    	                    	
 5.319999 -0.182878 7.955457 	 0.000000 -0.182878 6.484246 	 13.319999 -0.182878 10.218859 	 -1.360002 -0.182878 4.220844 	                    	                    	
 5.329999 -0.409817 7.975557 	 0.000000 -0.409817 6.493284 	 13.329999 -0.409817 10.255977 	 -1.340002 -0.409817 4.212864 	                    	                    	
 5.339999 -0.636757 7.995457 	 0.000000 -0.636757 6.502122 	 13.339999 -0.636757 10.292894 	 -1.320002 -0.636757 4.204684 	                    	                    	
 5.349999 -0.863695 8.015157 	 0.000000 -0.863695 6.510760 	 13.349999 -0.863695 10.329613 	 -1.300002 -0.863695 4.196304 	                    	                    	
