# Game Session ID 
0 
### Session Start ### 
# Game ID 
0 
# Begin play Date and Time 
 3 / 5 / 2013    20:34:24 
# With Fead back 
 True  
# With Visible Trajectory 
 False  
### Game start ### 
 # Throw number 1 of 5
# Type of Balls 
 Ball 0 -> Good ball 
 Ball 1 -> Ok ball 
 Ball 2 -> Bad ball 
# Trajectory par ball 
 Ball 0                               	 Ball 1                               	 Ball 2                               	 Ball 3                               	 Ball 4                               	 Ball 5                               	
X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	
 11.080000 19.333866 5.478685 	 2.620001 19.333866 4.958783 	 8.000000 19.333866 6.278534 	                    	                    	                    	
 11.060000 19.106928 5.515985 	 2.590001 19.106928 4.985021 	 8.000000 19.106928 6.332851 	                    	                    	                    	
 11.040000 18.879990 5.553084 	 2.560001 18.879990 5.011059 	 8.000000 18.879990 6.386970 	                    	                    	                    	
 11.020000 18.653049 5.589984 	 2.530001 18.653049 5.036897 	 8.000000 18.653049 6.440887 	                    	                    	                    	
 11.000000 18.426109 5.626684 	 2.500000 18.426109 5.062535 	 8.000000 18.426109 6.494605 	                    	                    	                    	
 10.980000 18.199173 5.663183 	 2.470001 18.199173 5.087973 	 8.000000 18.199173 6.548122 	                    	                    	                    	
 10.960000 17.972233 5.699483 	 2.440001 17.972233 5.113211 	 8.000000 17.972233 6.601440 	                    	                    	                    	
 10.940001 17.745293 5.735583 	 2.410001 17.745293 5.138248 	 8.000000 17.745293 6.654558 	                    	                    	                    	
 10.920000 17.518356 5.771482 	 2.380001 17.518356 5.163086 	 8.000000 17.518356 6.707476 	                    	                    	                    	
 10.900001 17.291416 5.807182 	 2.350001 17.291416 5.187725 	 8.000000 17.291416 6.760193 	                    	                    	                    	
 10.880000 17.064476 5.842681 	 2.320001 17.064476 5.212162 	 8.000000 17.064476 6.812711 	                    	                    	                    	
 10.860001 16.837540 5.877981 	 2.290001 16.837540 5.236400 	 8.000000 16.837540 6.865029 	                    	                    	                    	
 10.840000 16.610600 5.913081 	 2.260001 16.610600 5.260438 	 8.000000 16.610600 6.917147 	                    	                    	                    	
 10.820001 16.383659 5.947981 	 2.230001 16.383659 5.284276 	 8.000000 16.383659 6.969064 	                    	                    	                    	
 10.800000 16.156723 5.982680 	 2.200001 16.156723 5.307914 	 8.000000 16.156723 7.020782 	                    	                    	                    	
 10.780001 15.929783 6.017180 	 2.170001 15.929783 5.331352 	 8.000000 15.929783 7.072300 	                    	                    	                    	
 10.760000 15.702845 6.051480 	 2.140001 15.702845 5.354590 	 8.000000 15.702845 7.123618 	                    	                    	                    	
 10.740001 15.475905 6.085579 	 2.110001 15.475905 5.377628 	 8.000000 15.475905 7.174735 	                    	                    	                    	
 10.720000 15.248966 6.119479 	 2.080001 15.248966 5.400466 	 8.000000 15.248966 7.225653 	                    	                    	                    	
 10.700001 15.022028 6.153179 	 2.050001 15.022028 5.423104 	 8.000000 15.022028 7.276371 	                    	                    	                    	
 10.680000 14.795089 6.186678 	 2.020001 14.795089 5.445541 	 8.000000 14.795089 7.326889 	                    	                    	                    	
 10.660001 14.568150 6.219978 	 1.990001 14.568150 5.467780 	 8.000000 14.568150 7.377206 	                    	                    	                    	
 10.640000 14.341211 6.253078 	 1.960001 14.341211 5.489818 	 8.000000 14.341211 7.427324 	                    	                    	                    	
 10.620001 14.114272 6.285977 	 1.930001 14.114272 5.511655 	 8.000000 14.114272 7.477242 	                    	                    	                    	
 10.600000 13.887333 6.318677 	 1.900001 13.887333 5.533293 	 8.000000 13.887333 7.526959 	                    	                    	                    	
 10.580001 13.660395 6.351177 	 1.870001 13.660395 5.554731 	 8.000000 13.660395 7.576477 	                    	                    	                    	
 10.560000 13.433455 6.383476 	 1.840001 13.433455 5.575969 	 8.000000 13.433455 7.625795 	                    	                    	                    	
 10.540001 13.206516 6.415576 	 1.810001 13.206516 5.597007 	 8.000000 13.206516 7.674912 	                    	                    	                    	
 10.520000 12.979578 6.447475 	 1.780001 12.979578 5.617845 	 8.000000 12.979578 7.723830 	                    	                    	                    	
 10.500001 12.752638 6.479176 	 1.750001 12.752638 5.638483 	 8.000000 12.752638 7.772548 	                    	                    	                    	
 10.480000 12.525700 6.510675 	 1.720001 12.525700 5.658921 	 8.000000 12.525700 7.821066 	                    	                    	                    	
 10.460001 12.298761 6.541975 	 1.690001 12.298761 5.679159 	 8.000000 12.298761 7.869383 	                    	                    	                    	
 10.440001 12.071821 6.573074 	 1.660001 12.071821 5.699197 	 8.000000 12.071821 7.917501 	                    	                    	                    	
 10.420001 11.844883 6.603974 	 1.630001 11.844883 5.719035 	 8.000000 11.844883 7.965419 	                    	                    	                    	
 10.400001 11.617945 6.634674 	 1.600001 11.617945 5.738673 	 8.000000 11.617945 8.013137 	                    	                    	                    	
 10.380001 11.391006 6.665174 	 1.570001 11.391006 5.758111 	 8.000000 11.391006 8.060655 	                    	                    	                    	
 10.360001 11.164066 6.695473 	 1.540002 11.164066 5.777349 	 8.000000 11.164066 8.107972 	                    	                    	                    	
 10.340001 10.937128 6.725573 	 1.510002 10.937128 5.796387 	 8.000000 10.937128 8.155089 	                    	                    	                    	
 10.320001 10.710190 6.755472 	 1.480002 10.710190 5.815225 	 8.000000 10.710190 8.202007 	                    	                    	                    	
 10.300001 10.483250 6.785172 	 1.450002 10.483250 5.833862 	 8.000000 10.483250 8.248725 	                    	                    	                    	
 10.280001 10.256311 6.814672 	 1.420002 10.256311 5.852300 	 8.000000 10.256311 8.295243 	                    	                    	                    	
 10.260001 10.029373 6.843971 	 1.390002 10.029373 5.870538 	 8.000000 10.029373 8.341560 	                    	                    	                    	
 10.240001 9.802433 6.873071 	 1.360002 9.802433 5.888576 	 8.000000 9.802433 8.387678 	                    	                    	                    	
 10.220001 9.575495 6.901971 	 1.330002 9.575495 5.906414 	 8.000000 9.575495 8.433597 	                    	                    	                    	
 10.200001 9.348557 6.930670 	 1.300002 9.348557 5.924052 	 8.000000 9.348557 8.479314 	                    	                    	                    	
 10.180001 9.121616 6.959170 	 1.270002 9.121616 5.941490 	 8.000000 9.121616 8.524832 	                    	                    	                    	
 10.160001 8.894678 6.987470 	 1.240002 8.894678 5.958728 	 8.000000 8.894678 8.570149 	                    	                    	                    	
 10.140001 8.667740 7.015570 	 1.210002 8.667740 5.975766 	 8.000000 8.667740 8.615267 	                    	                    	                    	
 10.120001 8.440800 7.043469 	 1.180002 8.440800 5.992604 	 8.000000 8.440800 8.660185 	                    	                    	                    	
 10.100001 8.213861 7.071169 	 1.150002 8.213861 6.009242 	 8.000000 8.213861 8.704903 	                    	                    	                    	
 10.080001 7.986923 7.098669 	 1.120002 7.986923 6.025680 	 8.000000 7.986923 8.749420 	                    	                    	                    	
 10.060001 7.759983 7.125968 	 1.090002 7.759983 6.041918 	 8.000000 7.759983 8.793738 	                    	                    	                    	
 10.040001 7.533045 7.153068 	 1.060002 7.533045 6.057956 	 8.000000 7.533045 8.837855 	                    	                    	                    	
 10.020001 7.306107 7.179967 	 1.030002 7.306107 6.073793 	 8.000000 7.306107 8.881773 	                    	                    	                    	
 10.000001 7.079166 7.206667 	 1.000002 7.079166 6.089432 	 8.000000 7.079166 8.925491 	                    	                    	                    	
 9.980001 6.852226 7.233167 	 0.970002 6.852226 6.104869 	 8.000000 6.852226 8.969009 	                    	                    	                    	
 9.960001 6.625288 7.259467 	 0.940002 6.625288 6.120108 	 8.000000 6.625288 9.012327 	                    	                    	                    	
 9.940001 6.398350 7.285566 	 0.910002 6.398350 6.135146 	 8.000000 6.398350 9.055445 	                    	                    	                    	
 9.920001 6.171410 7.311466 	 0.880002 6.171410 6.149983 	 8.000000 6.171410 9.098362 	                    	                    	                    	
 9.900002 5.944471 7.337166 	 0.850002 5.944471 6.164621 	 8.000000 5.944471 9.141080 	                    	                    	                    	
 9.880001 5.717533 7.362666 	 0.820002 5.717533 6.179060 	 8.000000 5.717533 9.183598 	                    	                    	                    	
 9.860002 5.490593 7.387965 	 0.790002 5.490593 6.193297 	 8.000000 5.490593 9.225916 	                    	                    	                    	
 9.840001 5.263655 7.413065 	 0.760002 5.263655 6.207335 	 8.000000 5.263655 9.268033 	                    	                    	                    	
 9.820002 5.036716 7.437964 	 0.730002 5.036716 6.221173 	 8.000000 5.036716 9.309951 	                    	                    	                    	
 9.800001 4.809776 7.462664 	 0.700002 4.809776 6.234811 	 8.000000 4.809776 9.351668 	                    	                    	                    	
 9.780002 4.582838 7.487164 	 0.670002 4.582838 6.248249 	 8.000000 4.582838 9.393187 	                    	                    	                    	
 9.760001 4.355900 7.511464 	 0.640002 4.355900 6.261487 	 8.000000 4.355900 9.434505 	                    	                    	                    	
 9.740002 4.128960 7.535563 	 0.610002 4.128960 6.274525 	 8.000000 4.128960 9.475622 	                    	                    	                    	
 9.720001 3.902021 7.559463 	 0.580002 3.902021 6.287363 	 8.000000 3.902021 9.516540 	                    	                    	                    	
 9.700002 3.675083 7.583163 	 0.550002 3.675083 6.300001 	 8.000000 3.675083 9.557258 	                    	                    	                    	
 9.680001 3.448143 7.606662 	 0.520002 3.448143 6.312438 	 8.000000 3.448143 9.597775 	                    	                    	                    	
 9.660002 3.221205 7.629962 	 0.490002 3.221205 6.324677 	 8.000000 3.221205 9.638093 	                    	                    	                    	
 9.640001 2.994267 7.653062 	 0.460002 2.994267 6.336715 	 8.000000 2.994267 9.678211 	                    	                    	                    	
 9.620002 2.767326 7.675961 	 0.430002 2.767326 6.348553 	 8.000000 2.767326 9.718128 	                    	                    	                    	
 9.600001 2.540388 7.698661 	 0.400002 2.540388 6.360190 	 8.000000 2.540388 9.757846 	                    	                    	                    	
 9.580002 2.313450 7.721161 	 0.370002 2.313450 6.371628 	 8.000000 2.313450 9.797364 	                    	                    	                    	
 9.560001 2.086510 7.743461 	 0.340002 2.086510 6.382866 	 8.000000 2.086510 9.836681 	                    	                    	                    	
 9.540002 1.859571 7.765560 	 0.310002 1.859571 6.393904 	 8.000000 1.859571 9.875799 	                    	                    	                    	
 9.520001 1.632633 7.787460 	 0.280003 1.632633 6.404742 	 8.000000 1.632633 9.914717 	                    	                    	                    	
 9.500002 1.405693 7.809160 	 0.250003 1.405693 6.415380 	 8.000000 1.405693 9.953435 	                    	                    	                    	
 9.480001 1.178755 7.830659 	 0.220003 1.178755 6.425818 	 8.000000 1.178755 9.991953 	                    	                    	                    	
 9.460002 0.951817 7.851959 	 0.190003 0.951817 6.436056 	 8.000000 0.951817 10.030271 	                    	                    	                    	
 9.440001 0.724876 7.873058 	 0.160003 0.724876 6.446094 	 8.000000 0.724876 10.068388 	                    	                    	                    	
 9.420002 0.497938 7.893958 	 0.130003 0.497938 6.455932 	 8.000000 0.497938 10.106306 	                    	                    	                    	
 9.400002 0.271000 7.914658 	 0.100003 0.271000 6.465570 	 8.000000 0.271000 10.144024 	                    	                    	                    	
 9.380002 0.044060 7.935158 	 0.070003 0.044060 6.475008 	 8.000000 0.044060 10.181541 	                    	                    	                    	
 9.360002 -0.182878 7.955457 	 0.040003 -0.182878 6.484246 	 8.000000 -0.182878 10.218859 	                    	                    	                    	
 9.340002 -0.409817 7.975557 	 0.010003 -0.409817 6.493284 	 8.000000 -0.409817 10.255977 	                    	                    	                    	
 9.320002 -0.636757 7.995457 	 -0.019997 -0.636757 6.502122 	 8.000000 -0.636757 10.292894 	                    	                    	                    	
 9.300002 -0.863695 8.015157 	 -0.049997 -0.863695 6.510760 	 8.000000 -0.863695 10.329613 	                    	                    	                    	
 9.280002 -1.090633 8.034657 	 -0.079997 -1.090633 6.519198 	 8.000000 -1.090633 10.366130 	                    	                    	                    	
 9.260002 -1.317574 8.053956 	 -0.109997 -1.317574 6.527436 	 8.000000 -1.317574 10.402448 	                    	                    	                    	
 9.240002 -1.544512 8.073055 	 -0.139997 -1.544512 6.535474 	 8.000000 -1.544512 10.438565 	                    	                    	                    	
 9.220002 -1.771450 8.091955 	 -0.169997 -1.771450 6.543312 	 8.000000 -1.771450 10.474483 	                    	                    	                    	
 9.200002 -1.998390 8.110655 	 -0.199997 -1.998390 6.550950 	 8.000000 -1.998390 10.510201 	                    	                    	                    	
 9.180002 -2.225327 8.129154 	 -0.229997 -2.225327 6.558387 	 8.000000 -2.225327 10.545719 	                    	                    	                    	
