# Game Session ID 
150 
### Session Start ### 
# Game ID 
0 
# Begin play Date and Time 
 7 / 5 / 2013    14:12:13 
# With Fead back 
 True  
# With Visible Trajectory 
 False  
### Game start ### 
 # Trajectory par ball 
 Ball 0                               	 Ball 1                               	 Ball 2                               	 Ball 3                               	 Ball 4                               	 Ball 5                               	 Ball 6                               	 Ball 7                               	
X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	
 -7.889999 30.000000 3.500000 	 -4.070000 30.000000 3.500000 	 0.100000 30.000000 3.500000 	                    	                    	                    	                    	                    	
 -7.900000 29.905441 3.546700 	 -4.100000 29.905441 3.535638 	 0.100000 29.905441 3.563718 	                    	                    	                    	                    	                    	
 -7.910000 29.810884 3.593199 	 -4.130001 29.810884 3.571076 	 0.100000 29.810884 3.627235 	                    	                    	                    	                    	                    	
 -7.920000 29.716326 3.639499 	 -4.160000 29.716326 3.606314 	 0.100000 29.716326 3.690553 	                    	                    	                    	                    	                    	
 -7.930000 29.621769 3.685599 	 -4.190001 29.621769 3.641352 	 0.100000 29.621769 3.753671 	                    	                    	                    	                    	                    	
 -7.940000 29.527210 3.731498 	 -4.220000 29.527210 3.676190 	 0.100000 29.527210 3.816589 	                    	                    	                    	                    	                    	
 -7.950000 29.432652 3.777198 	 -4.250000 29.432652 3.710828 	 0.100000 29.432652 3.879307 	                    	                    	                    	                    	                    	
 -7.960000 29.338095 3.822698 	 -4.280000 29.338095 3.745265 	 0.100000 29.338095 3.941824 	                    	                    	                    	                    	                    	
 -7.970000 29.243536 3.867997 	 -4.310000 29.243536 3.779504 	 0.100000 29.243536 4.004142 	                    	                    	                    	                    	                    	
 -7.980000 29.148979 3.913097 	 -4.340000 29.148979 3.813541 	 0.100000 29.148979 4.066260 	                    	                    	                    	                    	                    	
 -7.990000 29.054420 3.957997 	 -4.370000 29.054420 3.847379 	 0.100000 29.054420 4.128178 	                    	                    	                    	                    	                    	
 -8.000000 28.959862 4.002697 	 -4.400001 28.959862 3.881017 	 0.100000 28.959862 4.189895 	                    	                    	                    	                    	                    	
 -8.009999 28.865305 4.047196 	 -4.430000 28.865305 3.914455 	 0.100000 28.865305 4.251413 	                    	                    	                    	                    	                    	
 -8.020000 28.770746 4.091496 	 -4.460001 28.770746 3.947693 	 0.100000 28.770746 4.312731 	                    	                    	                    	                    	                    	
 -8.030000 28.676189 4.135596 	 -4.490000 28.676189 3.980731 	 0.100000 28.676189 4.373848 	                    	                    	                    	                    	                    	
 -8.040000 28.581631 4.179495 	 -4.520000 28.581631 4.013569 	 0.100000 28.581631 4.434766 	                    	                    	                    	                    	                    	
 -8.049999 28.487072 4.223195 	 -4.550000 28.487072 4.046207 	 0.100000 28.487072 4.495484 	                    	                    	                    	                    	                    	
 -8.059999 28.392515 4.266695 	 -4.580000 28.392515 4.078645 	 0.100000 28.392515 4.556002 	                    	                    	                    	                    	                    	
 -8.070000 28.297956 4.309995 	 -4.610001 28.297956 4.110883 	 0.100000 28.297956 4.616320 	                    	                    	                    	                    	                    	
 -8.080000 28.203400 4.353094 	 -4.640000 28.203400 4.142921 	 0.100000 28.203400 4.676437 	                    	                    	                    	                    	                    	
 -8.089999 28.108841 4.395994 	 -4.670001 28.108841 4.174759 	 0.100000 28.108841 4.736355 	                    	                    	                    	                    	                    	
 -8.099999 28.014282 4.438694 	 -4.700000 28.014282 4.206397 	 0.100000 28.014282 4.796073 	                    	                    	                    	                    	                    	
 -8.110000 27.919725 4.481194 	 -4.730000 27.919725 4.237835 	 0.100000 27.919725 4.855591 	                    	                    	                    	                    	                    	
 -8.120000 27.825167 4.523493 	 -4.760001 27.825167 4.269073 	 0.100000 27.825167 4.914909 	                    	                    	                    	                    	                    	
 -8.130000 27.730608 4.565593 	 -4.790000 27.730608 4.300111 	 0.100000 27.730608 4.974027 	                    	                    	                    	                    	                    	
 -8.139999 27.636051 4.607492 	 -4.820001 27.636051 4.330949 	 0.100000 27.636051 5.032944 	                    	                    	                    	                    	                    	
 -8.150000 27.541492 4.649192 	 -4.850000 27.541492 4.361587 	 0.100000 27.541492 5.091662 	                    	                    	                    	                    	                    	
 -8.160000 27.446936 4.690692 	 -4.880001 27.446936 4.392025 	 0.100000 27.446936 5.150180 	                    	                    	                    	                    	                    	
 -8.170000 27.352377 4.731991 	 -4.910000 27.352377 4.422263 	 0.100000 27.352377 5.208498 	                    	                    	                    	                    	                    	
 -8.179999 27.257820 4.773091 	 -4.940001 27.257820 4.452301 	 0.100000 27.257820 5.266615 	                    	                    	                    	                    	                    	
 -8.190000 27.163261 4.813991 	 -4.970000 27.163261 4.482138 	 0.100000 27.163261 5.324533 	                    	                    	                    	                    	                    	
 -8.200000 27.068703 4.854691 	 -5.000000 27.068703 4.511776 	 0.100000 27.068703 5.382250 	                    	                    	                    	                    	                    	
