# Game Session ID 
147 
### Session Start ### 
# Game ID 
0 
# Begin play Date and Time 
 7 / 5 / 2013    14:11:20 
# With Fead back 
 True  
# With Visible Trajectory 
 False  
### Game start ### 
 # Trajectory par ball 
 Ball 0                               	 Ball 1                               	 Ball 2                               	 Ball 3                               	 Ball 4                               	 Ball 5                               	 Ball 6                               	 Ball 7                               	
X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	
 -8.290001 30.000000 3.500000 	 -3.670000 30.000000 3.500000 	 -0.300000 30.000000 3.500000 	                    	                    	                    	                    	                    	
 -8.300001 29.905441 3.546700 	 -3.700000 29.905441 3.535638 	 -0.300000 29.905441 3.563718 	                    	                    	                    	                    	                    	
 -8.310001 29.810884 3.593199 	 -3.730000 29.810884 3.571076 	 -0.300000 29.810884 3.627235 	                    	                    	                    	                    	                    	
 -8.320002 29.716326 3.639499 	 -3.760000 29.716326 3.606314 	 -0.300000 29.716326 3.690553 	                    	                    	                    	                    	                    	
 -8.330001 29.621769 3.685599 	 -3.790000 29.621769 3.641352 	 -0.300000 29.621769 3.753671 	                    	                    	                    	                    	                    	
 -8.340001 29.527210 3.731498 	 -3.820000 29.527210 3.676190 	 -0.300000 29.527210 3.816589 	                    	                    	                    	                    	                    	
 -8.350001 29.432652 3.777198 	 -3.850000 29.432652 3.710828 	 -0.300000 29.432652 3.879307 	                    	                    	                    	                    	                    	
 -8.360002 29.338095 3.822698 	 -3.880000 29.338095 3.745265 	 -0.300000 29.338095 3.941824 	                    	                    	                    	                    	                    	
 -8.370001 29.243536 3.867997 	 -3.910000 29.243536 3.779504 	 -0.300000 29.243536 4.004142 	                    	                    	                    	                    	                    	
 -8.380001 29.148979 3.913097 	 -3.940000 29.148979 3.813541 	 -0.300000 29.148979 4.066260 	                    	                    	                    	                    	                    	
 -8.390001 29.054420 3.957997 	 -3.970000 29.054420 3.847379 	 -0.300000 29.054420 4.128178 	                    	                    	                    	                    	                    	
 -8.400002 28.959862 4.002697 	 -4.000000 28.959862 3.881017 	 -0.300000 28.959862 4.189895 	                    	                    	                    	                    	                    	
 -8.410001 28.865305 4.047196 	 -4.030000 28.865305 3.914455 	 -0.300000 28.865305 4.251413 	                    	                    	                    	                    	                    	
 -8.420001 28.770746 4.091496 	 -4.060000 28.770746 3.947693 	 -0.300000 28.770746 4.312731 	                    	                    	                    	                    	                    	
 -8.430001 28.676189 4.135596 	 -4.090000 28.676189 3.980731 	 -0.300000 28.676189 4.373848 	                    	                    	                    	                    	                    	
 -8.440001 28.581631 4.179495 	 -4.120000 28.581631 4.013569 	 -0.300000 28.581631 4.434766 	                    	                    	                    	                    	                    	
 -8.450001 28.487072 4.223195 	 -4.150000 28.487072 4.046207 	 -0.300000 28.487072 4.495484 	                    	                    	                    	                    	                    	
 -8.460001 28.392515 4.266695 	 -4.180000 28.392515 4.078645 	 -0.300000 28.392515 4.556002 	                    	                    	                    	                    	                    	
 -8.470001 28.297956 4.309995 	 -4.210001 28.297956 4.110883 	 -0.300000 28.297956 4.616320 	                    	                    	                    	                    	                    	
 -8.480001 28.203400 4.353094 	 -4.240000 28.203400 4.142921 	 -0.300000 28.203400 4.676437 	                    	                    	                    	                    	                    	
 -8.490001 28.108841 4.395994 	 -4.270000 28.108841 4.174759 	 -0.300000 28.108841 4.736355 	                    	                    	                    	                    	                    	
 -8.500001 28.014282 4.438694 	 -4.300000 28.014282 4.206397 	 -0.300000 28.014282 4.796073 	                    	                    	                    	                    	                    	
 -8.510001 27.919725 4.481194 	 -4.330000 27.919725 4.237835 	 -0.300000 27.919725 4.855591 	                    	                    	                    	                    	                    	
 -8.520001 27.825167 4.523493 	 -4.360001 27.825167 4.269073 	 -0.300000 27.825167 4.914909 	                    	                    	                    	                    	                    	
 -8.530002 27.730608 4.565593 	 -4.390000 27.730608 4.300111 	 -0.300000 27.730608 4.974027 	                    	                    	                    	                    	                    	
 -8.540001 27.636051 4.607492 	 -4.420001 27.636051 4.330949 	 -0.300000 27.636051 5.032944 	                    	                    	                    	                    	                    	
 -8.550001 27.541492 4.649192 	 -4.450000 27.541492 4.361587 	 -0.300000 27.541492 5.091662 	                    	                    	                    	                    	                    	
 -8.560001 27.446936 4.690692 	 -4.480000 27.446936 4.392025 	 -0.300000 27.446936 5.150180 	                    	                    	                    	                    	                    	
 -8.570002 27.352377 4.731991 	 -4.510000 27.352377 4.422263 	 -0.300000 27.352377 5.208498 	                    	                    	                    	                    	                    	
 -8.580001 27.257820 4.773091 	 -4.540000 27.257820 4.452301 	 -0.300000 27.257820 5.266615 	                    	                    	                    	                    	                    	
 -8.590001 27.163261 4.813991 	 -4.570000 27.163261 4.482138 	 -0.300000 27.163261 5.324533 	                    	                    	                    	                    	                    	
 -8.600001 27.068703 4.854691 	 -4.600000 27.068703 4.511776 	 -0.300000 27.068703 5.382250 	                    	                    	                    	                    	                    	
 -8.610002 26.974146 4.895190 	 -4.630000 26.974146 4.541214 	 -0.300000 26.974146 5.439768 	                    	                    	                    	                    	                    	
