# Game Session ID 
13 
### Session Start ### 
# Game ID 
0 
# Begin play Date and Time 
 7 / 5 / 2013    20:43:21 
# With Fead back 
 True  
# With Visible Trajectory 
 False  
### Game start ### 
 # Trajectory par ball 
 Ball 0                               	 Ball 1                               	 Ball 2                               	 Ball 3                               	 Ball 4                               	 Ball 5                               	 Ball 6                               	 Ball 7                               	 Ball 8                               	 Ball 9                               	
X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	
 -8.639999 26.007553 5.133988 	 -4.470000 26.007553 4.713642 	 -1.010000 26.007553 5.780674 	                    	                    	                    	                    	                    	                    	                    	
 -8.660000 25.902489 5.173088 	 -4.480000 25.902489 4.741680 	 -1.040000 25.902489 5.836792 	                    	                    	                    	                    	                    	                    	                    	
 -8.679999 25.797424 5.211987 	 -4.490000 25.797424 4.769517 	 -1.070000 25.797424 5.892710 	                    	                    	                    	                    	                    	                    	                    	
 -8.700000 25.692362 5.250687 	 -4.500000 25.692362 4.797155 	 -1.100000 25.692362 5.948428 	                    	                    	                    	                    	                    	                    	                    	
 -8.719999 25.587297 5.289186 	 -4.510000 25.587297 4.824594 	 -1.130000 25.587297 6.003945 	                    	                    	                    	                    	                    	                    	                    	
 -8.740000 25.482233 5.327486 	 -4.520000 25.482233 4.851831 	 -1.160000 25.482233 6.059263 	                    	                    	                    	                    	                    	                    	                    	
 -8.759999 25.377169 5.365586 	 -4.530000 25.377169 4.878869 	 -1.190000 25.377169 6.114381 	                    	                    	                    	                    	                    	                    	                    	
 -8.780000 25.272104 5.403486 	 -4.540000 25.272104 4.905707 	 -1.220000 25.272104 6.169299 	                    	                    	                    	                    	                    	                    	                    	
 -8.799999 25.167040 5.441185 	 -4.550000 25.167040 4.932345 	 -1.250000 25.167040 6.224016 	                    	                    	                    	                    	                    	                    	                    	
 -8.820000 25.061975 5.478685 	 -4.560000 25.061975 4.958783 	 -1.279999 25.061975 6.278534 	                    	                    	                    	                    	                    	                    	                    	
 -8.839999 24.956911 5.515985 	 -4.570000 24.956911 4.985021 	 -1.309999 24.956911 6.332851 	                    	                    	                    	                    	                    	                    	                    	
 -8.860000 24.851847 5.553084 	 -4.580000 24.851847 5.011059 	 -1.339999 24.851847 6.386970 	                    	                    	                    	                    	                    	                    	                    	
 -8.879999 24.746782 5.589984 	 -4.590000 24.746782 5.036897 	 -1.369999 24.746782 6.440887 	                    	                    	                    	                    	                    	                    	                    	
 -8.900000 24.641718 5.626684 	 -4.600000 24.641718 5.062535 	 -1.399999 24.641718 6.494605 	                    	                    	                    	                    	                    	                    	                    	
 -8.919999 24.536654 5.663183 	 -4.610000 24.536654 5.087973 	 -1.429999 24.536654 6.548122 	                    	                    	                    	                    	                    	                    	                    	
 -8.940000 24.431589 5.699483 	 -4.620000 24.431589 5.113211 	 -1.459999 24.431589 6.601440 	                    	                    	                    	                    	                    	                    	                    	
 -8.959999 24.326525 5.735583 	 -4.630000 24.326525 5.138248 	 -1.489999 24.326525 6.654558 	                    	                    	                    	                    	                    	                    	                    	
 -8.980000 24.221460 5.771482 	 -4.640000 24.221460 5.163086 	 -1.519999 24.221460 6.707476 	                    	                    	                    	                    	                    	                    	                    	
 -8.999999 24.116396 5.807182 	 -4.650000 24.116396 5.187725 	 -1.549999 24.116396 6.760193 	                    	                    	                    	                    	                    	                    	                    	
 -9.020000 24.011332 5.842681 	 -4.660000 24.011332 5.212162 	 -1.579999 24.011332 6.812711 	                    	                    	                    	                    	                    	                    	                    	
 -9.039999 23.906269 5.877981 	 -4.670000 23.906269 5.236400 	 -1.609999 23.906269 6.865029 	                    	                    	                    	                    	                    	                    	                    	
