# Game Session ID 
167 
### Session Start ### 
# Game ID 
0 
# Begin play Date and Time 
 7 / 5 / 2013    16:56:27 
# With Fead back 
 False  
# With Visible Trajectory 
 True  
### Game start ### 
 # Throw number 1 of 30
# Type of Balls 
 Ball 0 -> Good ball 
 Ball 1 -> Bad ball 
 Ball 2 -> Ok ball 
# Trajectory par ball 
 Ball 0                               	 Ball 1                               	 Ball 2                               	 Ball 3                               	 Ball 4                               	 Ball 5                               	 Ball 6                               	 Ball 7                               	 Ball 8                               	 Ball 9                               	
X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	
 -7.629999 30.000000 3.500000 	 -4.340001 30.000000 3.500000 	 0.380000 30.000000 3.500000 	                    	                    	                    	                    	                    	                    	                    	
 -7.649999 29.894936 3.546700 	 -4.350001 29.894936 3.535638 	 0.350000 29.894936 3.563718 	                    	                    	                    	                    	                    	                    	                    	
 -7.669999 29.789871 3.593199 	 -4.360002 29.789871 3.571076 	 0.320000 29.789871 3.627235 	                    	                    	                    	                    	                    	                    	                    	
 -7.689999 29.684807 3.639499 	 -4.370001 29.684807 3.606314 	 0.290000 29.684807 3.690553 	                    	                    	                    	                    	                    	                    	                    	
 -7.709999 29.579742 3.685599 	 -4.380002 29.579742 3.641352 	 0.260000 29.579742 3.753671 	                    	                    	                    	                    	                    	                    	                    	
 -7.729999 29.474678 3.731498 	 -4.390001 29.474678 3.676190 	 0.230000 29.474678 3.816589 	                    	                    	                    	                    	                    	                    	                    	
 -7.749999 29.369614 3.777198 	 -4.400002 29.369614 3.710828 	 0.200000 29.369614 3.879307 	                    	                    	                    	                    	                    	                    	                    	
 -7.769999 29.264549 3.822698 	 -4.410001 29.264549 3.745265 	 0.170000 29.264549 3.941824 	                    	                    	                    	                    	                    	                    	                    	
 -7.789999 29.159485 3.867997 	 -4.420002 29.159485 3.779504 	 0.140000 29.159485 4.004142 	                    	                    	                    	                    	                    	                    	                    	
 -7.809999 29.054420 3.913097 	 -4.430001 29.054420 3.813541 	 0.110000 29.054420 4.066260 	                    	                    	                    	                    	                    	                    	                    	
