# Game Session ID 
2 
### Session Start ### 
# Game ID 
0 
# Begin play Date and Time 
 7 / 5 / 2013    18:11:50 
# With Fead back 
 False  
# With Visible Trajectory 
 True  
### Game start ### 
 # Trajectory par ball 
 Ball 0                               	 Ball 1                               	 Ball 2                               	 Ball 3                               	 Ball 4                               	 Ball 5                               	 Ball 6                               	 Ball 7                               	 Ball 8                               	 Ball 9                               	
X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	
 -8.730002 30.000000 3.500000 	 -3.240001 30.000000 3.500000 	 -0.720000 30.000000 3.500000 	                    	                    	                    	                    	                    	                    	                    	
 -8.750003 29.894936 3.546700 	 -3.250001 29.894936 3.535638 	 -0.750000 29.894936 3.563718 	                    	                    	                    	                    	                    	                    	                    	
 -8.770003 29.789871 3.593199 	 -3.260001 29.789871 3.571076 	 -0.780000 29.789871 3.627235 	                    	                    	                    	                    	                    	                    	                    	
 -8.790003 29.684807 3.639499 	 -3.270001 29.684807 3.606314 	 -0.810000 29.684807 3.690553 	                    	                    	                    	                    	                    	                    	                    	
 -8.810003 29.579742 3.685599 	 -3.280001 29.579742 3.641352 	 -0.840000 29.579742 3.753671 	                    	                    	                    	                    	                    	                    	                    	
 -8.830003 29.474678 3.731498 	 -3.290001 29.474678 3.676190 	 -0.870000 29.474678 3.816589 	                    	                    	                    	                    	                    	                    	                    	
 -8.850003 29.369614 3.777198 	 -3.300001 29.369614 3.710828 	 -0.900000 29.369614 3.879307 	                    	                    	                    	                    	                    	                    	                    	
 -8.870003 29.264549 3.822698 	 -3.310001 29.264549 3.745265 	 -0.930000 29.264549 3.941824 	                    	                    	                    	                    	                    	                    	                    	
 -8.890003 29.159485 3.867997 	 -3.320001 29.159485 3.779504 	 -0.960000 29.159485 4.004142 	                    	                    	                    	                    	                    	                    	                    	
 -8.910003 29.054420 3.913097 	 -3.330001 29.054420 3.813541 	 -0.990000 29.054420 4.066260 	                    	                    	                    	                    	                    	                    	                    	
 -8.930003 28.949356 3.957997 	 -3.340001 28.949356 3.847379 	 -1.020000 28.949356 4.128178 	                    	                    	                    	                    	                    	                    	                    	
 -8.950003 28.844292 4.002697 	 -3.350001 28.844292 3.881017 	 -1.050000 28.844292 4.189895 	                    	                    	                    	                    	                    	                    	                    	
 -8.970003 28.739227 4.047196 	 -3.360001 28.739227 3.914455 	 -1.080000 28.739227 4.251413 	                    	                    	                    	                    	                    	                    	                    	
 -8.990003 28.634163 4.091496 	 -3.370001 28.634163 3.947693 	 -1.110000 28.634163 4.312731 	                    	                    	                    	                    	                    	                    	                    	
 -9.010003 28.529099 4.135596 	 -3.380001 28.529099 3.980731 	 -1.140000 28.529099 4.373848 	                    	                    	                    	                    	                    	                    	                    	
 -9.030003 28.424034 4.179495 	 -3.390001 28.424034 4.013569 	 -1.170000 28.424034 4.434766 	                    	                    	                    	                    	                    	                    	                    	
 -9.050003 28.318970 4.223195 	 -3.400001 28.318970 4.046207 	 -1.200000 28.318970 4.495484 	                    	                    	                    	                    	                    	                    	                    	
 -9.070003 28.213905 4.266695 	 -3.410001 28.213905 4.078645 	 -1.230000 28.213905 4.556002 	                    	                    	                    	                    	                    	                    	                    	
 -9.090003 28.108841 4.309995 	 -3.420001 28.108841 4.110883 	 -1.260000 28.108841 4.616320 	                    	                    	                    	                    	                    	                    	                    	
 -9.110003 28.003777 4.353094 	 -3.430001 28.003777 4.142921 	 -1.290000 28.003777 4.676437 	                    	                    	                    	                    	                    	                    	                    	
 -9.130003 27.898712 4.395994 	 -3.440001 27.898712 4.174759 	 -1.320000 27.898712 4.736355 	                    	                    	                    	                    	                    	                    	                    	
 -9.150002 27.793648 4.438694 	 -3.450001 27.793648 4.206397 	 -1.350000 27.793648 4.796073 	                    	                    	                    	                    	                    	                    	                    	
 -9.170003 27.688583 4.481194 	 -3.460001 27.688583 4.237835 	 -1.380000 27.688583 4.855591 	                    	                    	                    	                    	                    	                    	                    	
 -9.190003 27.583519 4.523493 	 -3.470001 27.583519 4.269073 	 -1.410000 27.583519 4.914909 	                    	                    	                    	                    	                    	                    	                    	
 -9.210003 27.478455 4.565593 	 -3.480001 27.478455 4.300111 	 -1.440000 27.478455 4.974027 	                    	                    	                    	                    	                    	                    	                    	
 -9.230003 27.373390 4.607492 	 -3.490001 27.373390 4.330949 	 -1.470000 27.373390 5.032944 	                    	                    	                    	                    	                    	                    	                    	
 -9.250003 27.268326 4.649192 	 -3.500001 27.268326 4.361587 	 -1.500000 27.268326 5.091662 	                    	                    	                    	                    	                    	                    	                    	
 -9.270003 27.163261 4.690692 	 -3.510001 27.163261 4.392025 	 -1.530000 27.163261 5.150180 	                    	                    	                    	                    	                    	                    	                    	
 -9.290003 27.058197 4.731991 	 -3.520001 27.058197 4.422263 	 -1.560000 27.058197 5.208498 	                    	                    	                    	                    	                    	                    	                    	
 -9.310003 26.953133 4.773091 	 -3.530001 26.953133 4.452301 	 -1.590000 26.953133 5.266615 	                    	                    	                    	                    	                    	                    	                    	
 -9.330003 26.848068 4.813991 	 -3.540001 26.848068 4.482138 	 -1.620000 26.848068 5.324533 	                    	                    	                    	                    	                    	                    	                    	
 -9.350003 26.743004 4.854691 	 -3.550001 26.743004 4.511776 	 -1.650000 26.743004 5.382250 	                    	                    	                    	                    	                    	                    	                    	
 -9.370003 26.637939 4.895190 	 -3.560001 26.637939 4.541214 	 -1.680000 26.637939 5.439768 	                    	                    	                    	                    	                    	                    	                    	
 -9.390003 26.532875 4.935490 	 -3.570001 26.532875 4.570452 	 -1.710000 26.532875 5.497086 	                    	                    	                    	                    	                    	                    	                    	
 -9.410003 26.427811 4.975589 	 -3.580001 26.427811 4.599490 	 -1.740000 26.427811 5.554204 	                    	                    	                    	                    	                    	                    	                    	
 -9.430003 26.322746 5.015489 	 -3.590001 26.322746 4.628328 	 -1.770000 26.322746 5.611121 	                    	                    	                    	                    	                    	                    	                    	
 -9.450003 26.217682 5.055189 	 -3.600001 26.217682 4.656966 	 -1.800000 26.217682 5.667839 	                    	                    	                    	                    	                    	                    	                    	
 -9.470003 26.112617 5.094688 	 -3.610001 26.112617 4.685404 	 -1.830000 26.112617 5.724357 	                    	                    	                    	                    	                    	                    	                    	
 -9.490003 26.007553 5.133988 	 -3.620001 26.007553 4.713642 	 -1.860000 26.007553 5.780674 	                    	                    	                    	                    	                    	                    	                    	
 -9.510003 25.902489 5.173088 	 -3.630001 25.902489 4.741680 	 -1.890000 25.902489 5.836792 	                    	                    	                    	                    	                    	                    	                    	
 -9.530003 25.797424 5.211987 	 -3.640001 25.797424 4.769517 	 -1.920000 25.797424 5.892710 	                    	                    	                    	                    	                    	                    	                    	
 -9.550003 25.692362 5.250687 	 -3.650001 25.692362 4.797155 	 -1.950000 25.692362 5.948428 	                    	                    	                    	                    	                    	                    	                    	
 -9.570003 25.587297 5.289186 	 -3.660001 25.587297 4.824594 	 -1.980000 25.587297 6.003945 	                    	                    	                    	                    	                    	                    	                    	
 -9.590003 25.482233 5.327486 	 -3.670001 25.482233 4.851831 	 -2.010000 25.482233 6.059263 	                    	                    	                    	                    	                    	                    	                    	
 -9.610003 25.377169 5.365586 	 -3.680001 25.377169 4.878869 	 -2.040000 25.377169 6.114381 	                    	                    	                    	                    	                    	                    	                    	
 -9.630003 25.272104 5.403486 	 -3.690001 25.272104 4.905707 	 -2.070000 25.272104 6.169299 	                    	                    	                    	                    	                    	                    	                    	
 -9.650002 25.167040 5.441185 	 -3.700001 25.167040 4.932345 	 -2.100000 25.167040 6.224016 	                    	                    	                    	                    	                    	                    	                    	
 -9.670003 25.061975 5.478685 	 -3.710001 25.061975 4.958783 	 -2.130000 25.061975 6.278534 	                    	                    	                    	                    	                    	                    	                    	
 -9.690002 24.956911 5.515985 	 -3.720001 24.956911 4.985021 	 -2.160000 24.956911 6.332851 	                    	                    	                    	                    	                    	                    	                    	
 -9.710003 24.851847 5.553084 	 -3.730000 24.851847 5.011059 	 -2.190000 24.851847 6.386970 	                    	                    	                    	                    	                    	                    	                    	
 -9.730002 24.746782 5.589984 	 -3.740000 24.746782 5.036897 	 -2.220000 24.746782 6.440887 	                    	                    	                    	                    	                    	                    	                    	
 -9.750003 24.641718 5.626684 	 -3.750000 24.641718 5.062535 	 -2.250000 24.641718 6.494605 	                    	                    	                    	                    	                    	                    	                    	
 -9.770002 24.536654 5.663183 	 -3.760000 24.536654 5.087973 	 -2.279999 24.536654 6.548122 	                    	                    	                    	                    	                    	                    	                    	
 -9.790003 24.431589 5.699483 	 -3.770000 24.431589 5.113211 	 -2.309999 24.431589 6.601440 	                    	                    	                    	                    	                    	                    	                    	
 -9.810002 24.326525 5.735583 	 -3.780000 24.326525 5.138248 	 -2.339999 24.326525 6.654558 	                    	                    	                    	                    	                    	                    	                    	
 -9.830003 24.221460 5.771482 	 -3.790000 24.221460 5.163086 	 -2.369999 24.221460 6.707476 	                    	                    	                    	                    	                    	                    	                    	
 -9.850002 24.116396 5.807182 	 -3.800000 24.116396 5.187725 	 -2.399999 24.116396 6.760193 	                    	                    	                    	                    	                    	                    	                    	
 -9.870003 24.011332 5.842681 	 -3.810000 24.011332 5.212162 	 -2.429999 24.011332 6.812711 	                    	                    	                    	                    	                    	                    	                    	
 -9.890002 23.906269 5.877981 	 -3.820000 23.906269 5.236400 	 -2.459999 23.906269 6.865029 	                    	                    	                    	                    	                    	                    	                    	
 -9.910003 23.801205 5.913081 	 -3.830000 23.801205 5.260438 	 -2.489999 23.801205 6.917147 	                    	                    	                    	                    	                    	                    	                    	
 -9.930002 23.696140 5.947981 	 -3.840000 23.696140 5.284276 	 -2.519999 23.696140 6.969064 	                    	                    	                    	                    	                    	                    	                    	
 -9.950003 23.591076 5.982680 	 -3.850000 23.591076 5.307914 	 -2.549999 23.591076 7.020782 	                    	                    	                    	                    	                    	                    	                    	
 -9.970002 23.486012 6.017180 	 -3.860000 23.486012 5.331352 	 -2.579999 23.486012 7.072300 	                    	                    	                    	                    	                    	                    	                    	
 -9.990003 23.380947 6.051480 	 -3.870000 23.380947 5.354590 	 -2.609999 23.380947 7.123618 	                    	                    	                    	                    	                    	                    	                    	
 -10.010002 23.275883 6.085579 	 -3.880000 23.275883 5.377628 	 -2.639999 23.275883 7.174735 	                    	                    	                    	                    	                    	                    	                    	
 -10.030003 23.170818 6.119479 	 -3.890000 23.170818 5.400466 	 -2.669999 23.170818 7.225653 	                    	                    	                    	                    	                    	                    	                    	
 -10.050002 23.065754 6.153179 	 -3.900000 23.065754 5.423104 	 -2.699999 23.065754 7.276371 	                    	                    	                    	                    	                    	                    	                    	
 -10.070003 22.960690 6.186678 	 -3.910000 22.960690 5.445541 	 -2.729999 22.960690 7.326889 	                    	                    	                    	                    	                    	                    	                    	
 -10.090002 22.855625 6.219978 	 -3.920000 22.855625 5.467780 	 -2.759999 22.855625 7.377206 	                    	                    	                    	                    	                    	                    	                    	
 -10.110003 22.750561 6.253078 	 -3.930000 22.750561 5.489818 	 -2.789999 22.750561 7.427324 	                    	                    	                    	                    	                    	                    	                    	
 -10.130002 22.645496 6.285977 	 -3.940000 22.645496 5.511655 	 -2.819999 22.645496 7.477242 	                    	                    	                    	                    	                    	                    	                    	
 -10.150002 22.540432 6.318677 	 -3.950000 22.540432 5.533293 	 -2.849999 22.540432 7.526959 	                    	                    	                    	                    	                    	                    	                    	
 -10.170002 22.435368 6.351177 	 -3.960000 22.435368 5.554731 	 -2.879999 22.435368 7.576477 	                    	                    	                    	                    	                    	                    	                    	
 -10.190002 22.330303 6.383476 	 -3.970000 22.330303 5.575969 	 -2.909999 22.330303 7.625795 	                    	                    	                    	                    	                    	                    	                    	
 -10.210002 22.225239 6.415576 	 -3.980000 22.225239 5.597007 	 -2.939999 22.225239 7.674912 	                    	                    	                    	                    	                    	                    	                    	
 -10.230002 22.120174 6.447475 	 -3.990000 22.120174 5.617845 	 -2.969999 22.120174 7.723830 	                    	                    	                    	                    	                    	                    	                    	
 -10.250002 22.015110 6.479176 	 -4.000000 22.015110 5.638483 	 -2.999999 22.015110 7.772548 	                    	                    	                    	                    	                    	                    	                    	
 -10.270002 21.910046 6.510675 	 -4.010000 21.910046 5.658921 	 -3.029999 21.910046 7.821066 	                    	                    	                    	                    	                    	                    	                    	
 -10.290002 21.804981 6.541975 	 -4.020000 21.804981 5.679159 	 -3.059999 21.804981 7.869383 	                    	                    	                    	                    	                    	                    	                    	
 -10.310002 21.699917 6.573074 	 -4.030000 21.699917 5.699197 	 -3.089999 21.699917 7.917501 	                    	                    	                    	                    	                    	                    	                    	
 -10.330002 21.594852 6.603974 	 -4.040000 21.594852 5.719035 	 -3.119999 21.594852 7.965419 	                    	                    	                    	                    	                    	                    	                    	
 -10.350002 21.489788 6.634674 	 -4.050000 21.489788 5.738673 	 -3.149999 21.489788 8.013137 	                    	                    	                    	                    	                    	                    	                    	
 -10.370002 21.384724 6.665174 	 -4.060000 21.384724 5.758111 	 -3.179999 21.384724 8.060655 	                    	                    	                    	                    	                    	                    	                    	
 -10.390002 21.279659 6.695473 	 -4.070000 21.279659 5.777349 	 -3.209999 21.279659 8.107972 	                    	                    	                    	                    	                    	                    	                    	
 -10.410002 21.174597 6.725573 	 -4.080000 21.174597 5.796387 	 -3.239999 21.174597 8.155089 	                    	                    	                    	                    	                    	                    	                    	
 -10.430002 21.069532 6.755472 	 -4.090000 21.069532 5.815225 	 -3.269999 21.069532 8.202007 	                    	                    	                    	                    	                    	                    	                    	
 -10.450002 20.964468 6.785172 	 -4.100000 20.964468 5.833862 	 -3.299999 20.964468 8.248725 	                    	                    	                    	                    	                    	                    	                    	
 -10.470002 20.859404 6.814672 	 -4.110000 20.859404 5.852300 	 -3.329998 20.859404 8.295243 	                    	                    	                    	                    	                    	                    	                    	
 -10.490002 20.754339 6.843971 	 -4.120000 20.754339 5.870538 	 -3.359998 20.754339 8.341560 	                    	                    	                    	                    	                    	                    	                    	
 -10.510002 20.649275 6.873071 	 -4.130000 20.649275 5.888576 	 -3.389998 20.649275 8.387678 	                    	                    	                    	                    	                    	                    	                    	
 -10.530002 20.544210 6.901971 	 -4.140000 20.544210 5.906414 	 -3.419998 20.544210 8.433597 	                    	                    	                    	                    	                    	                    	                    	
 -10.550002 20.439146 6.930670 	 -4.150000 20.439146 5.924052 	 -3.449998 20.439146 8.479314 	                    	                    	                    	                    	                    	                    	                    	
 -10.570002 20.334082 6.959170 	 -4.160000 20.334082 5.941490 	 -3.479998 20.334082 8.524832 	                    	                    	                    	                    	                    	                    	                    	
 -10.590002 20.229017 6.987470 	 -4.170000 20.229017 5.958728 	 -3.509998 20.229017 8.570149 	                    	                    	                    	                    	                    	                    	                    	
 -10.610002 20.123955 7.015570 	 -4.180000 20.123955 5.975766 	 -3.539998 20.123955 8.615267 	                    	                    	                    	                    	                    	                    	                    	
 -10.630002 20.018890 7.043469 	 -4.190000 20.018890 5.992604 	 -3.569998 20.018890 8.660185 	                    	                    	                    	                    	                    	                    	                    	
