# Game Session ID 
170 
### Session Start ### 
# Game ID 
0 
# Begin play Date and Time 
 7 / 5 / 2013    16:58:53 
# With Fead back 
 False  
# With Visible Trajectory 
 True  
### Game start ### 
 # Throw number 1 of 30
# Type of Balls 
 Ball 0 -> Good ball 
 Ball 1 -> Bad ball 
 Ball 2 -> Ok ball 
# Trajectory par ball 
 Ball 0                               	 Ball 1                               	 Ball 2                               	 Ball 3                               	 Ball 4                               	 Ball 5                               	 Ball 6                               	 Ball 7                               	 Ball 8                               	 Ball 9                               	
X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	
 -8.030000 30.000000 3.500000 	 -3.940000 30.000000 3.500000 	 -0.020000 30.000000 3.500000 	                    	                    	                    	                    	                    	                    	                    	
 -8.050000 29.894936 3.546700 	 -3.950000 29.894936 3.535638 	 -0.050000 29.894936 3.563718 	                    	                    	                    	                    	                    	                    	                    	
 -8.070001 29.789871 3.593199 	 -3.960000 29.789871 3.571076 	 -0.080000 29.789871 3.627235 	                    	                    	                    	                    	                    	                    	                    	
 -8.090000 29.684807 3.639499 	 -3.970000 29.684807 3.606314 	 -0.110000 29.684807 3.690553 	                    	                    	                    	                    	                    	                    	                    	
 -8.110001 29.579742 3.685599 	 -3.980000 29.579742 3.641352 	 -0.140000 29.579742 3.753671 	                    	                    	                    	                    	                    	                    	                    	
 -8.130000 29.474678 3.731498 	 -3.990000 29.474678 3.676190 	 -0.170000 29.474678 3.816589 	                    	                    	                    	                    	                    	                    	                    	
 -8.150001 29.369614 3.777198 	 -4.000000 29.369614 3.710828 	 -0.200000 29.369614 3.879307 	                    	                    	                    	                    	                    	                    	                    	
 -8.170000 29.264549 3.822698 	 -4.010000 29.264549 3.745265 	 -0.230000 29.264549 3.941824 	                    	                    	                    	                    	                    	                    	                    	
 -8.190001 29.159485 3.867997 	 -4.020000 29.159485 3.779504 	 -0.260000 29.159485 4.004142 	                    	                    	                    	                    	                    	                    	                    	
 -8.210000 29.054420 3.913097 	 -4.030000 29.054420 3.813541 	 -0.290000 29.054420 4.066260 	                    	                    	                    	                    	                    	                    	                    	
 -8.230000 28.949356 3.957997 	 -4.040000 28.949356 3.847379 	 -0.320000 28.949356 4.128178 	                    	                    	                    	                    	                    	                    	                    	
 -8.250000 28.844292 4.002697 	 -4.050000 28.844292 3.881017 	 -0.350000 28.844292 4.189895 	                    	                    	                    	                    	                    	                    	                    	
 -8.270000 28.739227 4.047196 	 -4.060000 28.739227 3.914455 	 -0.380000 28.739227 4.251413 	                    	                    	                    	                    	                    	                    	                    	
 -8.290000 28.634163 4.091496 	 -4.070000 28.634163 3.947693 	 -0.410000 28.634163 4.312731 	                    	                    	                    	                    	                    	                    	                    	
 -8.310000 28.529099 4.135596 	 -4.080000 28.529099 3.980731 	 -0.440000 28.529099 4.373848 	                    	                    	                    	                    	                    	                    	                    	
 -8.330000 28.424034 4.179495 	 -4.090000 28.424034 4.013569 	 -0.470000 28.424034 4.434766 	                    	                    	                    	                    	                    	                    	                    	
 -8.350000 28.318970 4.223195 	 -4.100000 28.318970 4.046207 	 -0.500000 28.318970 4.495484 	                    	                    	                    	                    	                    	                    	                    	
 -8.370000 28.213905 4.266695 	 -4.110000 28.213905 4.078645 	 -0.530000 28.213905 4.556002 	                    	                    	                    	                    	                    	                    	                    	
 -8.390000 28.108841 4.309995 	 -4.120000 28.108841 4.110883 	 -0.560000 28.108841 4.616320 	                    	                    	                    	                    	                    	                    	                    	
 -8.410000 28.003777 4.353094 	 -4.130000 28.003777 4.142921 	 -0.590000 28.003777 4.676437 	                    	                    	                    	                    	                    	                    	                    	
 -8.430000 27.898712 4.395994 	 -4.140000 27.898712 4.174759 	 -0.620000 27.898712 4.736355 	                    	                    	                    	                    	                    	                    	                    	
 -8.450000 27.793648 4.438694 	 -4.150000 27.793648 4.206397 	 -0.650000 27.793648 4.796073 	                    	                    	                    	                    	                    	                    	                    	
 -8.470000 27.688583 4.481194 	 -4.160000 27.688583 4.237835 	 -0.680000 27.688583 4.855591 	                    	                    	                    	                    	                    	                    	                    	
 -8.490001 27.583519 4.523493 	 -4.170000 27.583519 4.269073 	 -0.710000 27.583519 4.914909 	                    	                    	                    	                    	                    	                    	                    	
 -8.510000 27.478455 4.565593 	 -4.180000 27.478455 4.300111 	 -0.740000 27.478455 4.974027 	                    	                    	                    	                    	                    	                    	                    	
 -8.530001 27.373390 4.607492 	 -4.190000 27.373390 4.330949 	 -0.770000 27.373390 5.032944 	                    	                    	                    	                    	                    	                    	                    	
 -8.550000 27.268326 4.649192 	 -4.200000 27.268326 4.361587 	 -0.800000 27.268326 5.091662 	                    	                    	                    	                    	                    	                    	                    	
 -8.570001 27.163261 4.690692 	 -4.210000 27.163261 4.392025 	 -0.830000 27.163261 5.150180 	                    	                    	                    	                    	                    	                    	                    	
