# Game Session ID 
158 
### Session Start ### 
# Game ID 
0 
# Begin play Date and Time 
 7 / 5 / 2013    16:35:8 
# With Fead back 
 False  
# With Visible Trajectory 
 True  
### Game start ### 
 # Trajectory par ball 
 Ball 0                               	 Ball 1                               	 Ball 2                               	 Ball 3                               	 Ball 4                               	 Ball 5                               	 Ball 6                               	 Ball 7                               	 Ball 8                               	 Ball 9                               	
X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	
 15.019996 30.000000 3.500000 	 21.009985 30.000000 3.500000 	 23.030016 30.000000 3.500000 	                    	                    	                    	                    	                    	                    	                    	
 14.999995 29.894936 3.546700 	 20.999985 29.894936 3.535638 	 23.000015 29.894936 3.563718 	                    	                    	                    	                    	                    	                    	                    	
 14.979995 29.789871 3.593199 	 20.989985 29.789871 3.571076 	 22.970015 29.789871 3.627235 	                    	                    	                    	                    	                    	                    	                    	
 14.959995 29.684807 3.639499 	 20.979984 29.684807 3.606314 	 22.940016 29.684807 3.690553 	                    	                    	                    	                    	                    	                    	                    	
 14.939995 29.579742 3.685599 	 20.969984 29.579742 3.641352 	 22.910015 29.579742 3.753671 	                    	                    	                    	                    	                    	                    	                    	
 14.919995 29.474678 3.731498 	 20.959984 29.474678 3.676190 	 22.880014 29.474678 3.816589 	                    	                    	                    	                    	                    	                    	                    	
 14.899995 29.369614 3.777198 	 20.949986 29.369614 3.710828 	 22.850016 29.369614 3.879307 	                    	                    	                    	                    	                    	                    	                    	
 14.879995 29.264549 3.822698 	 20.939985 29.264549 3.745265 	 22.820015 29.264549 3.941824 	                    	                    	                    	                    	                    	                    	                    	
 14.859995 29.159485 3.867997 	 20.929985 29.159485 3.779504 	 22.790016 29.159485 4.004142 	                    	                    	                    	                    	                    	                    	                    	
 14.839995 29.054420 3.913097 	 20.919985 29.054420 3.813541 	 22.760015 29.054420 4.066260 	                    	                    	                    	                    	                    	                    	                    	
 14.819995 28.949356 3.957997 	 20.909985 28.949356 3.847379 	 22.730015 28.949356 4.128178 	                    	                    	                    	                    	                    	                    	                    	
 14.799995 28.844292 4.002697 	 20.899984 28.844292 3.881017 	 22.700016 28.844292 4.189895 	                    	                    	                    	                    	                    	                    	                    	
