# Game Session ID 
141 
### Session Start ### 
# Game ID 
0 
# Begin play Date and Time 
 7 / 5 / 2013    13:55:22 
# With Fead back 
 True  
# With Visible Trajectory 
 False  
### Game start ### 
 # Trajectory par ball 
 Ball 0                               	 Ball 1                               	 Ball 2                               	 Ball 3                               	 Ball 4                               	 Ball 5                               	 Ball 6                               	 Ball 7                               	
X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	
 -8.390001 30.000000 3.500000 	 -3.570000 30.000000 3.500000 	 -0.400000 30.000000 3.500000 	                    	                    	                    	                    	                    	
 -8.400002 29.905441 3.546700 	 -3.600000 29.905441 3.535638 	 -0.400000 29.905441 3.563718 	                    	                    	                    	                    	                    	
 -8.410002 29.810884 3.593199 	 -3.630000 29.810884 3.571076 	 -0.400000 29.810884 3.627235 	                    	                    	                    	                    	                    	
 -8.420002 29.716326 3.639499 	 -3.660000 29.716326 3.606314 	 -0.400000 29.716326 3.690553 	                    	                    	                    	                    	                    	
 -8.430001 29.621769 3.685599 	 -3.690000 29.621769 3.641352 	 -0.400000 29.621769 3.753671 	                    	                    	                    	                    	                    	
 -8.440001 29.527210 3.731498 	 -3.720000 29.527210 3.676190 	 -0.400000 29.527210 3.816589 	                    	                    	                    	                    	                    	
 -8.450002 29.432652 3.777198 	 -3.750000 29.432652 3.710828 	 -0.400000 29.432652 3.879307 	                    	                    	                    	                    	                    	
 -8.460002 29.338095 3.822698 	 -3.780000 29.338095 3.745265 	 -0.400000 29.338095 3.941824 	                    	                    	                    	                    	                    	
 -8.470001 29.243536 3.867997 	 -3.810000 29.243536 3.779504 	 -0.400000 29.243536 4.004142 	                    	                    	                    	                    	                    	
 -8.480001 29.148979 3.913097 	 -3.840000 29.148979 3.813541 	 -0.400000 29.148979 4.066260 	                    	                    	                    	                    	                    	
 -8.490002 29.054420 3.957997 	 -3.870000 29.054420 3.847379 	 -0.400000 29.054420 4.128178 	                    	                    	                    	                    	                    	
 -8.500002 28.959862 4.002697 	 -3.900000 28.959862 3.881017 	 -0.400000 28.959862 4.189895 	                    	                    	                    	                    	                    	
 -8.510001 28.865305 4.047196 	 -3.930000 28.865305 3.914455 	 -0.400000 28.865305 4.251413 	                    	                    	                    	                    	                    	
 -8.520001 28.770746 4.091496 	 -3.960000 28.770746 3.947693 	 -0.400000 28.770746 4.312731 	                    	                    	                    	                    	                    	
 -8.530002 28.676189 4.135596 	 -3.990000 28.676189 3.980731 	 -0.400000 28.676189 4.373848 	                    	                    	                    	                    	                    	
 -8.540002 28.581631 4.179495 	 -4.020000 28.581631 4.013569 	 -0.400000 28.581631 4.434766 	                    	                    	                    	                    	                    	
 -8.550001 28.487072 4.223195 	 -4.050000 28.487072 4.046207 	 -0.400000 28.487072 4.495484 	                    	                    	                    	                    	                    	
 -8.560001 28.392515 4.266695 	 -4.080000 28.392515 4.078645 	 -0.400000 28.392515 4.556002 	                    	                    	                    	                    	                    	
 -8.570002 28.297956 4.309995 	 -4.110001 28.297956 4.110883 	 -0.400000 28.297956 4.616320 	                    	                    	                    	                    	                    	
