# Game Session ID 
144 
### Session Start ### 
# Game ID 
0 
# Begin play Date and Time 
 7 / 5 / 2013    14:8:35 
# With Fead back 
 True  
# With Visible Trajectory 
 False  
### Game start ### 
 # Trajectory par ball 
 Ball 0                               	 Ball 1                               	 Ball 2                               	 Ball 3                               	 Ball 4                               	 Ball 5                               	 Ball 6                               	 Ball 7                               	
X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	
 -7.589998 30.000000 3.500000 	 -4.370001 30.000000 3.500000 	 0.400000 30.000000 3.500000 	                    	                    	                    	                    	                    	
 -7.599998 29.905441 3.546700 	 -4.400002 29.905441 3.535638 	 0.400000 29.905441 3.563718 	                    	                    	                    	                    	                    	
 -7.609999 29.810884 3.593199 	 -4.430002 29.810884 3.571076 	 0.400000 29.810884 3.627235 	                    	                    	                    	                    	                    	
 -7.619998 29.716326 3.639499 	 -4.460001 29.716326 3.606314 	 0.400000 29.716326 3.690553 	                    	                    	                    	                    	                    	
 -7.629999 29.621769 3.685599 	 -4.490002 29.621769 3.641352 	 0.400000 29.621769 3.753671 	                    	                    	                    	                    	                    	
 -7.639998 29.527210 3.731498 	 -4.520001 29.527210 3.676190 	 0.400000 29.527210 3.816589 	                    	                    	                    	                    	                    	
 -7.649999 29.432652 3.777198 	 -4.550002 29.432652 3.710828 	 0.400000 29.432652 3.879307 	                    	                    	                    	                    	                    	
 -7.659998 29.338095 3.822698 	 -4.580001 29.338095 3.745265 	 0.400000 29.338095 3.941824 	                    	                    	                    	                    	                    	
 -7.669999 29.243536 3.867997 	 -4.610002 29.243536 3.779504 	 0.400000 29.243536 4.004142 	                    	                    	                    	                    	                    	
 -7.679998 29.148979 3.913097 	 -4.640001 29.148979 3.813541 	 0.400000 29.148979 4.066260 	                    	                    	                    	                    	                    	
 -7.689999 29.054420 3.957997 	 -4.670002 29.054420 3.847379 	 0.400000 29.054420 4.128178 	                    	                    	                    	                    	                    	
 -7.699998 28.959862 4.002697 	 -4.700002 28.959862 3.881017 	 0.400000 28.959862 4.189895 	                    	                    	                    	                    	                    	
 -7.709999 28.865305 4.047196 	 -4.730001 28.865305 3.914455 	 0.400000 28.865305 4.251413 	                    	                    	                    	                    	                    	
 -7.719998 28.770746 4.091496 	 -4.760002 28.770746 3.947693 	 0.400000 28.770746 4.312731 	                    	                    	                    	                    	                    	
 -7.729999 28.676189 4.135596 	 -4.790001 28.676189 3.980731 	 0.400000 28.676189 4.373848 	                    	                    	                    	                    	                    	
 -7.739998 28.581631 4.179495 	 -4.820002 28.581631 4.013569 	 0.400000 28.581631 4.434766 	                    	                    	                    	                    	                    	
