# Game Session ID 
5 
### Session Start ### 
# Game ID 
0 
# Begin play Date and Time 
 7 / 5 / 2013    18:23:10 
# With Fead back 
 False  
# With Visible Trajectory 
 True  
### Game start ### 
 # Trajectory par ball 
 Ball 0                               	 Ball 1                               	 Ball 2                               	 Ball 3                               	 Ball 4                               	 Ball 5                               	 Ball 6                               	 Ball 7                               	 Ball 8                               	 Ball 9                               	
X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	
 -7.279997 30.000000 3.500000 	 -4.690002 30.000000 3.500000 	 0.730000 30.000000 3.500000 	                    	                    	                    	                    	                    	                    	                    	
 -7.299997 29.894936 3.546700 	 -4.700003 29.894936 3.535638 	 0.700000 29.894936 3.563718 	                    	                    	                    	                    	                    	                    	                    	
 -7.319997 29.789871 3.593199 	 -4.710003 29.789871 3.571076 	 0.670000 29.789871 3.627235 	                    	                    	                    	                    	                    	                    	                    	
 -7.339997 29.684807 3.639499 	 -4.720003 29.684807 3.606314 	 0.640000 29.684807 3.690553 	                    	                    	                    	                    	                    	                    	                    	
 -7.359997 29.579742 3.685599 	 -4.730003 29.579742 3.641352 	 0.610000 29.579742 3.753671 	                    	                    	                    	                    	                    	                    	                    	
 -7.379997 29.474678 3.731498 	 -4.740003 29.474678 3.676190 	 0.580000 29.474678 3.816589 	                    	                    	                    	                    	                    	                    	                    	
 -7.399997 29.369614 3.777198 	 -4.750003 29.369614 3.710828 	 0.550000 29.369614 3.879307 	                    	                    	                    	                    	                    	                    	                    	
 -7.419997 29.264549 3.822698 	 -4.760003 29.264549 3.745265 	 0.520000 29.264549 3.941824 	                    	                    	                    	                    	                    	                    	                    	
 -7.439997 29.159485 3.867997 	 -4.770003 29.159485 3.779504 	 0.490000 29.159485 4.004142 	                    	                    	                    	                    	                    	                    	                    	
 -7.459997 29.054420 3.913097 	 -4.780003 29.054420 3.813541 	 0.460000 29.054420 4.066260 	                    	                    	                    	                    	                    	                    	                    	
 -7.479997 28.949356 3.957997 	 -4.790003 28.949356 3.847379 	 0.430000 28.949356 4.128178 	                    	                    	                    	                    	                    	                    	                    	
 -7.499997 28.844292 4.002697 	 -4.800003 28.844292 3.881017 	 0.400000 28.844292 4.189895 	                    	                    	                    	                    	                    	                    	                    	
 -7.519997 28.739227 4.047196 	 -4.810003 28.739227 3.914455 	 0.370000 28.739227 4.251413 	                    	                    	                    	                    	                    	                    	                    	
 -7.539997 28.634163 4.091496 	 -4.820003 28.634163 3.947693 	 0.340000 28.634163 4.312731 	                    	                    	                    	                    	                    	                    	                    	
 -7.559997 28.529099 4.135596 	 -4.830003 28.529099 3.980731 	 0.310000 28.529099 4.373848 	                    	                    	                    	                    	                    	                    	                    	
 -7.579998 28.424034 4.179495 	 -4.840003 28.424034 4.013569 	 0.280000 28.424034 4.434766 	                    	                    	                    	                    	                    	                    	                    	
 -7.599998 28.318970 4.223195 	 -4.850003 28.318970 4.046207 	 0.250000 28.318970 4.495484 	                    	                    	                    	                    	                    	                    	                    	
 -7.619998 28.213905 4.266695 	 -4.860003 28.213905 4.078645 	 0.220000 28.213905 4.556002 	                    	                    	                    	                    	                    	                    	                    	
 -7.639997 28.108841 4.309995 	 -4.870003 28.108841 4.110883 	 0.190000 28.108841 4.616320 	                    	                    	                    	                    	                    	                    	                    	
 -7.659997 28.003777 4.353094 	 -4.880002 28.003777 4.142921 	 0.160000 28.003777 4.676437 	                    	                    	                    	                    	                    	                    	                    	
 -7.679997 27.898712 4.395994 	 -4.890003 27.898712 4.174759 	 0.130000 27.898712 4.736355 	                    	                    	                    	                    	                    	                    	                    	
 -7.699997 27.793648 4.438694 	 -4.900002 27.793648 4.206397 	 0.100000 27.793648 4.796073 	                    	                    	                    	                    	                    	                    	                    	
 -7.719997 27.688583 4.481194 	 -4.910003 27.688583 4.237835 	 0.070000 27.688583 4.855591 	                    	                    	                    	                    	                    	                    	                    	
 -7.739997 27.583519 4.523493 	 -4.920003 27.583519 4.269073 	 0.040000 27.583519 4.914909 	                    	                    	                    	                    	                    	                    	                    	
 -7.759997 27.478455 4.565593 	 -4.930003 27.478455 4.300111 	 0.010000 27.478455 4.974027 	                    	                    	                    	                    	                    	                    	                    	
 -7.779997 27.373390 4.607492 	 -4.940003 27.373390 4.330949 	 -0.020000 27.373390 5.032944 	                    	                    	                    	                    	                    	                    	                    	
 -7.799997 27.268326 4.649192 	 -4.950003 27.268326 4.361587 	 -0.050000 27.268326 5.091662 	                    	                    	                    	                    	                    	                    	                    	
 -7.819997 27.163261 4.690692 	 -4.960003 27.163261 4.392025 	 -0.080000 27.163261 5.150180 	                    	                    	                    	                    	                    	                    	                    	
 -7.839997 27.058197 4.731991 	 -4.970003 27.058197 4.422263 	 -0.110000 27.058197 5.208498 	                    	                    	                    	                    	                    	                    	                    	
 -7.859997 26.953133 4.773091 	 -4.980003 26.953133 4.452301 	 -0.140000 26.953133 5.266615 	                    	                    	                    	                    	                    	                    	                    	
 -7.879997 26.848068 4.813991 	 -4.990003 26.848068 4.482138 	 -0.170000 26.848068 5.324533 	                    	                    	                    	                    	                    	                    	                    	
 -7.899997 26.743004 4.854691 	 -5.000003 26.743004 4.511776 	 -0.200000 26.743004 5.382250 	                    	                    	                    	                    	                    	                    	                    	
 -7.919997 26.637939 4.895190 	 -5.010003 26.637939 4.541214 	 -0.230000 26.637939 5.439768 	                    	                    	                    	                    	                    	                    	                    	
 -7.939997 26.532875 4.935490 	 -5.020003 26.532875 4.570452 	 -0.260000 26.532875 5.497086 	                    	                    	                    	                    	                    	                    	                    	
 -7.959997 26.427811 4.975589 	 -5.030003 26.427811 4.599490 	 -0.290000 26.427811 5.554204 	                    	                    	                    	                    	                    	                    	                    	
 -7.979997 26.322746 5.015489 	 -5.040003 26.322746 4.628328 	 -0.320000 26.322746 5.611121 	                    	                    	                    	                    	                    	                    	                    	
 -7.999997 26.217682 5.055189 	 -5.050003 26.217682 4.656966 	 -0.350000 26.217682 5.667839 	                    	                    	                    	                    	                    	                    	                    	
 -8.019998 26.112617 5.094688 	 -5.060003 26.112617 4.685404 	 -0.380000 26.112617 5.724357 	                    	                    	                    	                    	                    	                    	                    	
 -8.039997 26.007553 5.133988 	 -5.070003 26.007553 4.713642 	 -0.410000 26.007553 5.780674 	                    	                    	                    	                    	                    	                    	                    	
 -8.059998 25.902489 5.173088 	 -5.080003 25.902489 4.741680 	 -0.440000 25.902489 5.836792 	                    	                    	                    	                    	                    	                    	                    	
 -8.079997 25.797424 5.211987 	 -5.090003 25.797424 4.769517 	 -0.470000 25.797424 5.892710 	                    	                    	                    	                    	                    	                    	                    	
 -8.099998 25.692362 5.250687 	 -5.100003 25.692362 4.797155 	 -0.500000 25.692362 5.948428 	                    	                    	                    	                    	                    	                    	                    	
 -8.119997 25.587297 5.289186 	 -5.110003 25.587297 4.824594 	 -0.529999 25.587297 6.003945 	                    	                    	                    	                    	                    	                    	                    	
 -8.139997 25.482233 5.327486 	 -5.120003 25.482233 4.851831 	 -0.559999 25.482233 6.059263 	                    	                    	                    	                    	                    	                    	                    	
 -8.159997 25.377169 5.365586 	 -5.130002 25.377169 4.878869 	 -0.589999 25.377169 6.114381 	                    	                    	                    	                    	                    	                    	                    	
 -8.179997 25.272104 5.403486 	 -5.140003 25.272104 4.905707 	 -0.619999 25.272104 6.169299 	                    	                    	                    	                    	                    	                    	                    	
 -8.199997 25.167040 5.441185 	 -5.150002 25.167040 4.932345 	 -0.649999 25.167040 6.224016 	                    	                    	                    	                    	                    	                    	                    	
 -8.219997 25.061975 5.478685 	 -5.160003 25.061975 4.958783 	 -0.679999 25.061975 6.278534 	                    	                    	                    	                    	                    	                    	                    	
 -8.239997 24.956911 5.515985 	 -5.170002 24.956911 4.985021 	 -0.709999 24.956911 6.332851 	                    	                    	                    	                    	                    	                    	                    	
 -8.259997 24.851847 5.553084 	 -5.180003 24.851847 5.011059 	 -0.739999 24.851847 6.386970 	                    	                    	                    	                    	                    	                    	                    	
 -8.279997 24.746782 5.589984 	 -5.190002 24.746782 5.036897 	 -0.769999 24.746782 6.440887 	                    	                    	                    	                    	                    	                    	                    	
 -8.299997 24.641718 5.626684 	 -5.200003 24.641718 5.062535 	 -0.799999 24.641718 6.494605 	                    	                    	                    	                    	                    	                    	                    	
 -8.319997 24.536654 5.663183 	 -5.210002 24.536654 5.087973 	 -0.829999 24.536654 6.548122 	                    	                    	                    	                    	                    	                    	                    	
 -8.339997 24.431589 5.699483 	 -5.220003 24.431589 5.113211 	 -0.859999 24.431589 6.601440 	                    	                    	                    	                    	                    	                    	                    	
 -8.359997 24.326525 5.735583 	 -5.230002 24.326525 5.138248 	 -0.889999 24.326525 6.654558 	                    	                    	                    	                    	                    	                    	                    	
 -8.379997 24.221460 5.771482 	 -5.240003 24.221460 5.163086 	 -0.919999 24.221460 6.707476 	                    	                    	                    	                    	                    	                    	                    	
 -8.399997 24.116396 5.807182 	 -5.250002 24.116396 5.187725 	 -0.949999 24.116396 6.760193 	                    	                    	                    	                    	                    	                    	                    	
 -8.419997 24.011332 5.842681 	 -5.260003 24.011332 5.212162 	 -0.979999 24.011332 6.812711 	                    	                    	                    	                    	                    	                    	                    	
 -8.439997 23.906269 5.877981 	 -5.270002 23.906269 5.236400 	 -1.009999 23.906269 6.865029 	                    	                    	                    	                    	                    	                    	                    	
 -8.459997 23.801205 5.913081 	 -5.280003 23.801205 5.260438 	 -1.039999 23.801205 6.917147 	                    	                    	                    	                    	                    	                    	                    	
 -8.479997 23.696140 5.947981 	 -5.290002 23.696140 5.284276 	 -1.069999 23.696140 6.969064 	                    	                    	                    	                    	                    	                    	                    	
 -8.499997 23.591076 5.982680 	 -5.300003 23.591076 5.307914 	 -1.099999 23.591076 7.020782 	                    	                    	                    	                    	                    	                    	                    	
 -8.519997 23.486012 6.017180 	 -5.310002 23.486012 5.331352 	 -1.129999 23.486012 7.072300 	                    	                    	                    	                    	                    	                    	                    	
 -8.539997 23.380947 6.051480 	 -5.320003 23.380947 5.354590 	 -1.159999 23.380947 7.123618 	                    	                    	                    	                    	                    	                    	                    	
 -8.559997 23.275883 6.085579 	 -5.330002 23.275883 5.377628 	 -1.189999 23.275883 7.174735 	                    	                    	                    	                    	                    	                    	                    	
 -8.579997 23.170818 6.119479 	 -5.340003 23.170818 5.400466 	 -1.219999 23.170818 7.225653 	                    	                    	                    	                    	                    	                    	                    	
 -8.599997 23.065754 6.153179 	 -5.350002 23.065754 5.423104 	 -1.249999 23.065754 7.276371 	                    	                    	                    	                    	                    	                    	                    	
 -8.619997 22.960690 6.186678 	 -5.360003 22.960690 5.445541 	 -1.279999 22.960690 7.326889 	                    	                    	                    	                    	                    	                    	                    	
 -8.639997 22.855625 6.219978 	 -5.370002 22.855625 5.467780 	 -1.309999 22.855625 7.377206 	                    	                    	                    	                    	                    	                    	                    	
 -8.659997 22.750561 6.253078 	 -5.380002 22.750561 5.489818 	 -1.339999 22.750561 7.427324 	                    	                    	                    	                    	                    	                    	                    	
 -8.679996 22.645496 6.285977 	 -5.390002 22.645496 5.511655 	 -1.369999 22.645496 7.477242 	                    	                    	                    	                    	                    	                    	                    	
 -8.699997 22.540432 6.318677 	 -5.400002 22.540432 5.533293 	 -1.399999 22.540432 7.526959 	                    	                    	                    	                    	                    	                    	                    	
 -8.719996 22.435368 6.351177 	 -5.410002 22.435368 5.554731 	 -1.429999 22.435368 7.576477 	                    	                    	                    	                    	                    	                    	                    	
 -8.739997 22.330303 6.383476 	 -5.420002 22.330303 5.575969 	 -1.459999 22.330303 7.625795 	                    	                    	                    	                    	                    	                    	                    	
 -8.759996 22.225239 6.415576 	 -5.430002 22.225239 5.597007 	 -1.489999 22.225239 7.674912 	                    	                    	                    	                    	                    	                    	                    	
 -8.779997 22.120174 6.447475 	 -5.440002 22.120174 5.617845 	 -1.519999 22.120174 7.723830 	                    	                    	                    	                    	                    	                    	                    	
 -8.799996 22.015110 6.479176 	 -5.450002 22.015110 5.638483 	 -1.549999 22.015110 7.772548 	                    	                    	                    	                    	                    	                    	                    	
 -8.819997 21.910046 6.510675 	 -5.460002 21.910046 5.658921 	 -1.579999 21.910046 7.821066 	                    	                    	                    	                    	                    	                    	                    	
 -8.839996 21.804981 6.541975 	 -5.470002 21.804981 5.679159 	 -1.609999 21.804981 7.869383 	                    	                    	                    	                    	                    	                    	                    	
 -8.859997 21.699917 6.573074 	 -5.480002 21.699917 5.699197 	 -1.639999 21.699917 7.917501 	                    	                    	                    	                    	                    	                    	                    	
 -8.879996 21.594852 6.603974 	 -5.490002 21.594852 5.719035 	 -1.669999 21.594852 7.965419 	                    	                    	                    	                    	                    	                    	                    	
 -8.899997 21.489788 6.634674 	 -5.500002 21.489788 5.738673 	 -1.699998 21.489788 8.013137 	                    	                    	                    	                    	                    	                    	                    	
 -8.919996 21.384724 6.665174 	 -5.510002 21.384724 5.758111 	 -1.729998 21.384724 8.060655 	                    	                    	                    	                    	                    	                    	                    	
 -8.939997 21.279659 6.695473 	 -5.520002 21.279659 5.777349 	 -1.759998 21.279659 8.107972 	                    	                    	                    	                    	                    	                    	                    	
 -8.959996 21.174597 6.725573 	 -5.530002 21.174597 5.796387 	 -1.789998 21.174597 8.155089 	                    	                    	                    	                    	                    	                    	                    	
 -8.979997 21.069532 6.755472 	 -5.540002 21.069532 5.815225 	 -1.819998 21.069532 8.202007 	                    	                    	                    	                    	                    	                    	                    	
 -8.999996 20.964468 6.785172 	 -5.550002 20.964468 5.833862 	 -1.849998 20.964468 8.248725 	                    	                    	                    	                    	                    	                    	                    	
 -9.019997 20.859404 6.814672 	 -5.560002 20.859404 5.852300 	 -1.879998 20.859404 8.295243 	                    	                    	                    	                    	                    	                    	                    	
 -9.039996 20.754339 6.843971 	 -5.570002 20.754339 5.870538 	 -1.909998 20.754339 8.341560 	                    	                    	                    	                    	                    	                    	                    	
 -9.059997 20.649275 6.873071 	 -5.580002 20.649275 5.888576 	 -1.939998 20.649275 8.387678 	                    	                    	                    	                    	                    	                    	                    	
 -9.079996 20.544210 6.901971 	 -5.590002 20.544210 5.906414 	 -1.969998 20.544210 8.433597 	                    	                    	                    	                    	                    	                    	                    	
 -9.099997 20.439146 6.930670 	 -5.600002 20.439146 5.924052 	 -1.999998 20.439146 8.479314 	                    	                    	                    	                    	                    	                    	                    	
 -9.119996 20.334082 6.959170 	 -5.610002 20.334082 5.941490 	 -2.029998 20.334082 8.524832 	                    	                    	                    	                    	                    	                    	                    	
 -9.139997 20.229017 6.987470 	 -5.620002 20.229017 5.958728 	 -2.059998 20.229017 8.570149 	                    	                    	                    	                    	                    	                    	                    	
 -9.159996 20.123955 7.015570 	 -5.630002 20.123955 5.975766 	 -2.089998 20.123955 8.615267 	                    	                    	                    	                    	                    	                    	                    	
