# Game Session ID 
165 
### Session Start ### 
# Game ID 
0 
# Begin play Date and Time 
 7 / 5 / 2013    16:51:20 
# With Fead back 
 False  
# With Visible Trajectory 
 True  
### Game start ### 
 # Throw number 1 of 30
# Type of Balls 
 Ball 0 -> Good ball 
 Ball 1 -> Bad ball 
 Ball 2 -> Ok ball 
# Trajectory par ball 
 Ball 0                               	 Ball 1                               	 Ball 2                               	 Ball 3                               	 Ball 4                               	 Ball 5                               	 Ball 6                               	 Ball 7                               	 Ball 8                               	 Ball 9                               	
X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	
 -7.679999 30.000000 3.500000 	 -4.290001 30.000000 3.500000 	 0.330000 30.000000 3.500000 	                    	                    	                    	                    	                    	                    	                    	
 -7.699999 29.894936 3.546700 	 -4.300001 29.894936 3.535638 	 0.300000 29.894936 3.563718 	                    	                    	                    	                    	                    	                    	                    	
 -7.719999 29.789871 3.593199 	 -4.310001 29.789871 3.571076 	 0.270000 29.789871 3.627235 	                    	                    	                    	                    	                    	                    	                    	
 -7.739999 29.684807 3.639499 	 -4.320001 29.684807 3.606314 	 0.240000 29.684807 3.690553 	                    	                    	                    	                    	                    	                    	                    	
 -7.759999 29.579742 3.685599 	 -4.330001 29.579742 3.641352 	 0.210000 29.579742 3.753671 	                    	                    	                    	                    	                    	                    	                    	
 -7.779999 29.474678 3.731498 	 -4.340001 29.474678 3.676190 	 0.180000 29.474678 3.816589 	                    	                    	                    	                    	                    	                    	                    	
 -7.799999 29.369614 3.777198 	 -4.350001 29.369614 3.710828 	 0.150000 29.369614 3.879307 	                    	                    	                    	                    	                    	                    	                    	
 -7.819999 29.264549 3.822698 	 -4.360001 29.264549 3.745265 	 0.120000 29.264549 3.941824 	                    	                    	                    	                    	                    	                    	                    	
 -7.839999 29.159485 3.867997 	 -4.370001 29.159485 3.779504 	 0.090000 29.159485 4.004142 	                    	                    	                    	                    	                    	                    	                    	
 -7.859999 29.054420 3.913097 	 -4.380001 29.054420 3.813541 	 0.060000 29.054420 4.066260 	                    	                    	                    	                    	                    	                    	                    	
 -7.879999 28.949356 3.957997 	 -4.390001 28.949356 3.847379 	 0.030000 28.949356 4.128178 	                    	                    	                    	                    	                    	                    	                    	
 -7.899999 28.844292 4.002697 	 -4.400001 28.844292 3.881017 	 0.000000 28.844292 4.189895 	                    	                    	                    	                    	                    	                    	                    	
 -7.919999 28.739227 4.047196 	 -4.410001 28.739227 3.914455 	 -0.030000 28.739227 4.251413 	                    	                    	                    	                    	                    	                    	                    	
 -7.939999 28.634163 4.091496 	 -4.420001 28.634163 3.947693 	 -0.060000 28.634163 4.312731 	                    	                    	                    	                    	                    	                    	                    	
 -7.959999 28.529099 4.135596 	 -4.430001 28.529099 3.980731 	 -0.090000 28.529099 4.373848 	                    	                    	                    	                    	                    	                    	                    	
 -7.979999 28.424034 4.179495 	 -4.440001 28.424034 4.013569 	 -0.120000 28.424034 4.434766 	                    	                    	                    	                    	                    	                    	                    	
 -7.999999 28.318970 4.223195 	 -4.450001 28.318970 4.046207 	 -0.150000 28.318970 4.495484 	                    	                    	                    	                    	                    	                    	                    	
 -8.019999 28.213905 4.266695 	 -4.460001 28.213905 4.078645 	 -0.180000 28.213905 4.556002 	                    	                    	                    	                    	                    	                    	                    	
 -8.039999 28.108841 4.309995 	 -4.470001 28.108841 4.110883 	 -0.210000 28.108841 4.616320 	                    	                    	                    	                    	                    	                    	                    	
 -8.059999 28.003777 4.353094 	 -4.480001 28.003777 4.142921 	 -0.240000 28.003777 4.676437 	                    	                    	                    	                    	                    	                    	                    	
 -8.079999 27.898712 4.395994 	 -4.490001 27.898712 4.174759 	 -0.270000 27.898712 4.736355 	                    	                    	                    	                    	                    	                    	                    	
 -8.099998 27.793648 4.438694 	 -4.500001 27.793648 4.206397 	 -0.300000 27.793648 4.796073 	                    	                    	                    	                    	                    	                    	                    	
 -8.119999 27.688583 4.481194 	 -4.510001 27.688583 4.237835 	 -0.330000 27.688583 4.855591 	                    	                    	                    	                    	                    	                    	                    	
 -8.139999 27.583519 4.523493 	 -4.520001 27.583519 4.269073 	 -0.360000 27.583519 4.914909 	                    	                    	                    	                    	                    	                    	                    	
 -8.159999 27.478455 4.565593 	 -4.530001 27.478455 4.300111 	 -0.390000 27.478455 4.974027 	                    	                    	                    	                    	                    	                    	                    	
 -8.179999 27.373390 4.607492 	 -4.540001 27.373390 4.330949 	 -0.420000 27.373390 5.032944 	                    	                    	                    	                    	                    	                    	                    	
 -8.199999 27.268326 4.649192 	 -4.550001 27.268326 4.361587 	 -0.450000 27.268326 5.091662 	                    	                    	                    	                    	                    	                    	                    	
 -8.219999 27.163261 4.690692 	 -4.560001 27.163261 4.392025 	 -0.480000 27.163261 5.150180 	                    	                    	                    	                    	                    	                    	                    	
 -8.239999 27.058197 4.731991 	 -4.570001 27.058197 4.422263 	 -0.510000 27.058197 5.208498 	                    	                    	                    	                    	                    	                    	                    	
 -8.259999 26.953133 4.773091 	 -4.580001 26.953133 4.452301 	 -0.540000 26.953133 5.266615 	                    	                    	                    	                    	                    	                    	                    	
 -8.279999 26.848068 4.813991 	 -4.590001 26.848068 4.482138 	 -0.570000 26.848068 5.324533 	                    	                    	                    	                    	                    	                    	                    	
 -8.299999 26.743004 4.854691 	 -4.600001 26.743004 4.511776 	 -0.600000 26.743004 5.382250 	                    	                    	                    	                    	                    	                    	                    	
 -8.319999 26.637939 4.895190 	 -4.610001 26.637939 4.541214 	 -0.630000 26.637939 5.439768 	                    	                    	                    	                    	                    	                    	                    	
 -8.339999 26.532875 4.935490 	 -4.620001 26.532875 4.570452 	 -0.660000 26.532875 5.497086 	                    	                    	                    	                    	                    	                    	                    	
 -8.359999 26.427811 4.975589 	 -4.630001 26.427811 4.599490 	 -0.690000 26.427811 5.554204 	                    	                    	                    	                    	                    	                    	                    	
 -8.379999 26.322746 5.015489 	 -4.640001 26.322746 4.628328 	 -0.720000 26.322746 5.611121 	                    	                    	                    	                    	                    	                    	                    	
 -8.399999 26.217682 5.055189 	 -4.650001 26.217682 4.656966 	 -0.750000 26.217682 5.667839 	                    	                    	                    	                    	                    	                    	                    	
 -8.419999 26.112617 5.094688 	 -4.660001 26.112617 4.685404 	 -0.780000 26.112617 5.724357 	                    	                    	                    	                    	                    	                    	                    	
 -8.439999 26.007553 5.133988 	 -4.670001 26.007553 4.713642 	 -0.810000 26.007553 5.780674 	                    	                    	                    	                    	                    	                    	                    	
 -8.459999 25.902489 5.173088 	 -4.680001 25.902489 4.741680 	 -0.840000 25.902489 5.836792 	                    	                    	                    	                    	                    	                    	                    	
 -8.479999 25.797424 5.211987 	 -4.690001 25.797424 4.769517 	 -0.870000 25.797424 5.892710 	                    	                    	                    	                    	                    	                    	                    	
 -8.499999 25.692362 5.250687 	 -4.700001 25.692362 4.797155 	 -0.900000 25.692362 5.948428 	                    	                    	                    	                    	                    	                    	                    	
 -8.519999 25.587297 5.289186 	 -4.710001 25.587297 4.824594 	 -0.930000 25.587297 6.003945 	                    	                    	                    	                    	                    	                    	                    	
 -8.539999 25.482233 5.327486 	 -4.720001 25.482233 4.851831 	 -0.960000 25.482233 6.059263 	                    	                    	                    	                    	                    	                    	                    	
 -8.559999 25.377169 5.365586 	 -4.730001 25.377169 4.878869 	 -0.990000 25.377169 6.114381 	                    	                    	                    	                    	                    	                    	                    	
 -8.579999 25.272104 5.403486 	 -4.740001 25.272104 4.905707 	 -1.020000 25.272104 6.169299 	                    	                    	                    	                    	                    	                    	                    	
 -8.599998 25.167040 5.441185 	 -4.750001 25.167040 4.932345 	 -1.049999 25.167040 6.224016 	                    	                    	                    	                    	                    	                    	                    	
 -8.619999 25.061975 5.478685 	 -4.760001 25.061975 4.958783 	 -1.079999 25.061975 6.278534 	                    	                    	                    	                    	                    	                    	                    	
 -8.639998 24.956911 5.515985 	 -4.770001 24.956911 4.985021 	 -1.109999 24.956911 6.332851 	                    	                    	                    	                    	                    	                    	                    	
 -8.659999 24.851847 5.553084 	 -4.780001 24.851847 5.011059 	 -1.139999 24.851847 6.386970 	                    	                    	                    	                    	                    	                    	                    	
 -8.679998 24.746782 5.589984 	 -4.790001 24.746782 5.036897 	 -1.169999 24.746782 6.440887 	                    	                    	                    	                    	                    	                    	                    	
 -8.699999 24.641718 5.626684 	 -4.800001 24.641718 5.062535 	 -1.199999 24.641718 6.494605 	                    	                    	                    	                    	                    	                    	                    	
 -8.719998 24.536654 5.663183 	 -4.810001 24.536654 5.087973 	 -1.229999 24.536654 6.548122 	                    	                    	                    	                    	                    	                    	                    	
 -8.739999 24.431589 5.699483 	 -4.820001 24.431589 5.113211 	 -1.259999 24.431589 6.601440 	                    	                    	                    	                    	                    	                    	                    	
 -8.759998 24.326525 5.735583 	 -4.830001 24.326525 5.138248 	 -1.289999 24.326525 6.654558 	                    	                    	                    	                    	                    	                    	                    	
 -8.779999 24.221460 5.771482 	 -4.840001 24.221460 5.163086 	 -1.319999 24.221460 6.707476 	                    	                    	                    	                    	                    	                    	                    	
 -8.799998 24.116396 5.807182 	 -4.850001 24.116396 5.187725 	 -1.349999 24.116396 6.760193 	                    	                    	                    	                    	                    	                    	                    	
 -8.819999 24.011332 5.842681 	 -4.860001 24.011332 5.212162 	 -1.379999 24.011332 6.812711 	                    	                    	                    	                    	                    	                    	                    	
 -8.839998 23.906269 5.877981 	 -4.870001 23.906269 5.236400 	 -1.409999 23.906269 6.865029 	                    	                    	                    	                    	                    	                    	                    	
 -8.859999 23.801205 5.913081 	 -4.880001 23.801205 5.260438 	 -1.439999 23.801205 6.917147 	                    	                    	                    	                    	                    	                    	                    	
 -8.879998 23.696140 5.947981 	 -4.890001 23.696140 5.284276 	 -1.469999 23.696140 6.969064 	                    	                    	                    	                    	                    	                    	                    	
 -8.899999 23.591076 5.982680 	 -4.900001 23.591076 5.307914 	 -1.499999 23.591076 7.020782 	                    	                    	                    	                    	                    	                    	                    	
 -8.919998 23.486012 6.017180 	 -4.910001 23.486012 5.331352 	 -1.529999 23.486012 7.072300 	                    	                    	                    	                    	                    	                    	                    	
 -8.939999 23.380947 6.051480 	 -4.920001 23.380947 5.354590 	 -1.559999 23.380947 7.123618 	                    	                    	                    	                    	                    	                    	                    	
 -8.959998 23.275883 6.085579 	 -4.930001 23.275883 5.377628 	 -1.589999 23.275883 7.174735 	                    	                    	                    	                    	                    	                    	                    	
 -8.979999 23.170818 6.119479 	 -4.940001 23.170818 5.400466 	 -1.619999 23.170818 7.225653 	                    	                    	                    	                    	                    	                    	                    	
 -8.999998 23.065754 6.153179 	 -4.950001 23.065754 5.423104 	 -1.649999 23.065754 7.276371 	                    	                    	                    	                    	                    	                    	                    	
 -9.019999 22.960690 6.186678 	 -4.960001 22.960690 5.445541 	 -1.679999 22.960690 7.326889 	                    	                    	                    	                    	                    	                    	                    	
 -9.039998 22.855625 6.219978 	 -4.970001 22.855625 5.467780 	 -1.709999 22.855625 7.377206 	                    	                    	                    	                    	                    	                    	                    	
 -9.059999 22.750561 6.253078 	 -4.980001 22.750561 5.489818 	 -1.739999 22.750561 7.427324 	                    	                    	                    	                    	                    	                    	                    	
 -9.079998 22.645496 6.285977 	 -4.990001 22.645496 5.511655 	 -1.769999 22.645496 7.477242 	                    	                    	                    	                    	                    	                    	                    	
 -9.099998 22.540432 6.318677 	 -5.000001 22.540432 5.533293 	 -1.799999 22.540432 7.526959 	                    	                    	                    	                    	                    	                    	                    	
 -9.119998 22.435368 6.351177 	 -5.010001 22.435368 5.554731 	 -1.829999 22.435368 7.576477 	                    	                    	                    	                    	                    	                    	                    	
 -9.139998 22.330303 6.383476 	 -5.020001 22.330303 5.575969 	 -1.859999 22.330303 7.625795 	                    	                    	                    	                    	                    	                    	                    	
 -9.159998 22.225239 6.415576 	 -5.030001 22.225239 5.597007 	 -1.889999 22.225239 7.674912 	                    	                    	                    	                    	                    	                    	                    	
