# Game Session ID 
173 
### Session Start ### 
# Game ID 
0 
# Begin play Date and Time 
 7 / 5 / 2013    17:21:15 
# With Fead back 
 False  
# With Visible Trajectory 
 True  
### Game start ### 
 # Throw number 1 of 30
# Type of Balls 
 Ball 0 -> Good ball 
 Ball 1 -> Bad ball 
 Ball 2 -> Ok ball 
# Trajectory par ball 
 Ball 0                               	 Ball 1                               	 Ball 2                               	 Ball 3                               	 Ball 4                               	 Ball 5                               	 Ball 6                               	 Ball 7                               	 Ball 8                               	 Ball 9                               	
X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	
 -8.380001 30.000000 3.500000 	 -3.590000 30.000000 3.500000 	 -0.370000 30.000000 3.500000 	                    	                    	                    	                    	                    	                    	                    	
 -8.400002 29.894936 3.546700 	 -3.600000 29.894936 3.535638 	 -0.400000 29.894936 3.563718 	                    	                    	                    	                    	                    	                    	                    	
 -8.420002 29.789871 3.593199 	 -3.610000 29.789871 3.571076 	 -0.430000 29.789871 3.627235 	                    	                    	                    	                    	                    	                    	                    	
 -8.440001 29.684807 3.639499 	 -3.620000 29.684807 3.606314 	 -0.460000 29.684807 3.690553 	                    	                    	                    	                    	                    	                    	                    	
 -8.460002 29.579742 3.685599 	 -3.630000 29.579742 3.641352 	 -0.490000 29.579742 3.753671 	                    	                    	                    	                    	                    	                    	                    	
 -8.480001 29.474678 3.731498 	 -3.640000 29.474678 3.676190 	 -0.520000 29.474678 3.816589 	                    	                    	                    	                    	                    	                    	                    	
 -8.500002 29.369614 3.777198 	 -3.650000 29.369614 3.710828 	 -0.550000 29.369614 3.879307 	                    	                    	                    	                    	                    	                    	                    	
 -8.520001 29.264549 3.822698 	 -3.660000 29.264549 3.745265 	 -0.580000 29.264549 3.941824 	                    	                    	                    	                    	                    	                    	                    	
 -8.540002 29.159485 3.867997 	 -3.670000 29.159485 3.779504 	 -0.610000 29.159485 4.004142 	                    	                    	                    	                    	                    	                    	                    	
 -8.560001 29.054420 3.913097 	 -3.680000 29.054420 3.813541 	 -0.640000 29.054420 4.066260 	                    	                    	                    	                    	                    	                    	                    	
 -8.580002 28.949356 3.957997 	 -3.690000 28.949356 3.847379 	 -0.670000 28.949356 4.128178 	                    	                    	                    	                    	                    	                    	                    	
 -8.600001 28.844292 4.002697 	 -3.700000 28.844292 3.881017 	 -0.700000 28.844292 4.189895 	                    	                    	                    	                    	                    	                    	                    	
 -8.620002 28.739227 4.047196 	 -3.710000 28.739227 3.914455 	 -0.730000 28.739227 4.251413 	                    	                    	                    	                    	                    	                    	                    	
