# Game Session ID 
139 
### Session Start ### 
# Game ID 
0 
# Begin play Date and Time 
 7 / 5 / 2013    13:53:39 
# With Fead back 
 True  
# With Visible Trajectory 
 False  
### Game start ### 
 # Trajectory par ball 
 Ball 0                               	 Ball 1                               	 Ball 2                               	 Ball 3                               	 Ball 4                               	 Ball 5                               	 Ball 6                               	 Ball 7                               	
 -8.389997 21.017000 7.043469 	 -7.370000 21.017000 5.992604 	 0.550000 21.017000 8.660185 	                    	                    	                    	                    	                    	
 -8.399998 20.922443 7.071169 	 -7.400000 20.922443 6.009242 	 0.550000 20.922443 8.704903 	                    	                    	                    	                    	                    	
 -8.409997 20.827885 7.098669 	 -7.430000 20.827885 6.025680 	 0.550000 20.827885 8.749420 	                    	                    	                    	                    	                    	
 -8.419997 20.733326 7.125968 	 -7.460000 20.733326 6.041918 	 0.550000 20.733326 8.793738 	                    	                    	                    	                    	                    	
 -8.429997 20.638769 7.153068 	 -7.490000 20.638769 6.057956 	 0.550000 20.638769 8.837855 	                    	                    	                    	                    	                    	
 -8.439998 20.544212 7.179967 	 -7.520000 20.544212 6.073793 	 0.550000 20.544212 8.881773 	                    	                    	                    	                    	                    	
 -8.449997 20.449654 7.206667 	 -7.550000 20.449654 6.089432 	 0.550000 20.449654 8.925491 	                    	                    	                    	                    	                    	
 -8.459997 20.355095 7.233167 	 -7.580000 20.355095 6.104869 	 0.550000 20.355095 8.969009 	                    	                    	                    	                    	                    	
 -8.469997 20.260536 7.259467 	 -7.610000 20.260536 6.120108 	 0.550000 20.260536 9.012327 	                    	                    	                    	                    	                    	
 -8.479998 20.165977 7.285566 	 -7.640000 20.165977 6.135146 	 0.550000 20.165977 9.055445 	                    	                    	                    	                    	                    	
 -8.489997 20.071421 7.311466 	 -7.670000 20.071421 6.149983 	 0.550000 20.071421 9.098362 	                    	                    	                    	                    	                    	
 -8.499997 19.976864 7.337166 	 -7.700000 19.976864 6.164621 	 0.550000 19.976864 9.141080 	                    	                    	                    	                    	                    	
 -8.509997 19.882305 7.362666 	 -7.730000 19.882305 6.179060 	 0.550000 19.882305 9.183598 	                    	                    	                    	                    	                    	
 -8.519998 19.787746 7.387965 	 -7.760000 19.787746 6.193297 	 0.550000 19.787746 9.225916 	                    	                    	                    	                    	                    	
 -8.529997 19.693190 7.413065 	 -7.790000 19.693190 6.207335 	 0.550000 19.693190 9.268033 	                    	                    	                    	                    	                    	
 -8.539997 19.598633 7.437964 	 -7.820000 19.598633 6.221173 	 0.550000 19.598633 9.309951 	                    	                    	                    	                    	                    	
 -8.549997 19.504074 7.462664 	 -7.850000 19.504074 6.234811 	 0.550000 19.504074 9.351668 	                    	                    	                    	                    	                    	
 -8.559998 19.409515 7.487164 	 -7.880000 19.409515 6.248249 	 0.550000 19.409515 9.393187 	                    	                    	                    	                    	                    	
 -8.569997 19.314959 7.511464 	 -7.910000 19.314959 6.261487 	 0.550000 19.314959 9.434505 	                    	                    	                    	                    	                    	
 -8.579997 19.220400 7.535563 	 -7.940000 19.220400 6.274525 	 0.550000 19.220400 9.475622 	                    	                    	                    	                    	                    	
 -8.589997 19.125843 7.559463 	 -7.970000 19.125843 6.287363 	 0.550000 19.125843 9.516540 	                    	                    	                    	                    	                    	
 -8.599998 19.031284 7.583163 	 -8.000000 19.031284 6.300001 	 0.550000 19.031284 9.557258 	                    	                    	                    	                    	                    	
 -8.609997 18.936726 7.606662 	 -8.030000 18.936726 6.312438 	 0.550000 18.936726 9.597775 	                    	                    	                    	                    	                    	
 -8.619997 18.842169 7.629962 	 -8.059999 18.842169 6.324677 	 0.550000 18.842169 9.638093 	                    	                    	                    	                    	                    	
 -8.629997 18.747612 7.653062 	 -8.090000 18.747612 6.336715 	 0.550000 18.747612 9.678211 	                    	                    	                    	                    	                    	
 -8.639997 18.653053 7.675961 	 -8.120000 18.653053 6.348553 	 0.550000 18.653053 9.718128 	                    	                    	                    	                    	                    	
 -8.649997 18.558495 7.698661 	 -8.150000 18.558495 6.360190 	 0.550000 18.558495 9.757846 	                    	                    	                    	                    	                    	
 -8.659997 18.463938 7.721161 	 -8.179999 18.463938 6.371628 	 0.550000 18.463938 9.797364 	                    	                    	                    	                    	                    	
 -8.669997 18.369379 7.743461 	 -8.210000 18.369379 6.382866 	 0.550000 18.369379 9.836681 	                    	                    	                    	                    	                    	
 -8.679997 18.274822 7.765560 	 -8.240000 18.274822 6.393904 	 0.550000 18.274822 9.875799 	                    	                    	                    	                    	                    	
 -8.689997 18.180264 7.787460 	 -8.270000 18.180264 6.404742 	 0.550000 18.180264 9.914717 	                    	                    	                    	                    	                    	
 -8.699997 18.085705 7.809160 	 -8.299999 18.085705 6.415380 	 0.550000 18.085705 9.953435 	                    	                    	                    	                    	                    	
 -8.709997 17.991148 7.830659 	 -8.330000 17.991148 6.425818 	 0.550000 17.991148 9.991953 	                    	                    	                    	                    	                    	
 -8.719997 17.896591 7.851959 	 -8.360000 17.896591 6.436056 	 0.550000 17.896591 10.030271 	                    	                    	                    	                    	                    	
 -8.729997 17.802032 7.873058 	 -8.389999 17.802032 6.446094 	 0.550000 17.802032 10.068388 	                    	                    	                    	                    	                    	
 -8.739997 17.707474 7.893958 	 -8.419999 17.707474 6.455932 	 0.550000 17.707474 10.106306 	                    	                    	                    	                    	                    	
 -8.749997 17.612917 7.914658 	 -8.450000 17.612917 6.465570 	 0.550000 17.612917 10.144024 	                    	                    	                    	                    	                    	
 -8.759997 17.518360 7.935158 	 -8.480000 17.518360 6.475008 	 0.550000 17.518360 10.181541 	                    	                    	                    	                    	                    	
 -8.769997 17.423801 7.955457 	 -8.509999 17.423801 6.484246 	 0.550000 17.423801 10.218859 	                    	                    	                    	                    	                    	
 -8.779997 17.329243 7.975557 	 -8.539999 17.329243 6.493284 	 0.550000 17.329243 10.255977 	                    	                    	                    	                    	                    	
 -8.789997 17.234684 7.995457 	 -8.570000 17.234684 6.502122 	 0.550000 17.234684 10.292894 	                    	                    	                    	                    	                    	
 -8.799997 17.140127 8.015157 	 -8.599999 17.140127 6.510760 	 0.550000 17.140127 10.329613 	                    	                    	                    	                    	                    	
 -8.809997 17.045570 8.034657 	 -8.629999 17.045570 6.519198 	 0.550000 17.045570 10.366130 	                    	                    	                    	                    	                    	
 -8.819997 16.951012 8.053956 	 -8.659999 16.951012 6.527436 	 0.550000 16.951012 10.402448 	                    	                    	                    	                    	                    	
 -8.829997 16.856453 8.073055 	 -8.690000 16.856453 6.535474 	 0.550000 16.856453 10.438565 	                    	                    	                    	                    	                    	
 -8.839997 16.761896 8.091955 	 -8.719999 16.761896 6.543312 	 0.550000 16.761896 10.474483 	                    	                    	                    	                    	                    	
 -8.849997 16.667339 8.110655 	 -8.749999 16.667339 6.550950 	 0.550000 16.667339 10.510201 	                    	                    	                    	                    	                    	
 -8.859997 16.572781 8.129154 	 -8.779999 16.572781 6.558387 	 0.550000 16.572781 10.545719 	                    	                    	                    	                    	                    	
 -8.869997 16.478222 8.147454 	 -8.809999 16.478222 6.565626 	 0.550000 16.478222 10.581037 	                    	                    	                    	                    	                    	
 -8.879997 16.383663 8.165554 	 -8.839999 16.383663 6.572663 	 0.550000 16.383663 10.616155 	                    	                    	                    	                    	                    	
 -8.889997 16.289106 8.183454 	 -8.869999 16.289106 6.579501 	 0.550000 16.289106 10.651073 	                    	                    	                    	                    	                    	
 -8.899997 16.194550 8.201154 	 -8.899999 16.194550 6.586139 	 0.550000 16.194550 10.685790 	                    	                    	                    	                    	                    	
 -8.909997 16.099991 8.218653 	 -8.929999 16.099991 6.592577 	 0.550000 16.099991 10.720307 	                    	                    	                    	                    	                    	
 -8.919997 16.005432 8.235953 	 -8.959999 16.005432 6.598815 	 0.550000 16.005432 10.754625 	                    	                    	                    	                    	                    	
 -8.929996 15.910875 8.253053 	 -8.989999 15.910875 6.604853 	 0.550000 15.910875 10.788743 	                    	                    	                    	                    	                    	
 -8.939997 15.816318 8.269952 	 -9.019999 15.816318 6.610691 	 0.550000 15.816318 10.822660 	                    	                    	                    	                    	                    	
 -8.949997 15.721760 8.286652 	 -9.049999 15.721760 6.616329 	 0.550000 15.721760 10.856379 	                    	                    	                    	                    	                    	
 -8.959997 15.627201 8.303151 	 -9.079999 15.627201 6.621767 	 0.550000 15.627201 10.889896 	                    	                    	                    	                    	                    	
 -8.969996 15.532643 8.319451 	 -9.109999 15.532643 6.627005 	 0.550000 15.532643 10.923214 	                    	                    	                    	                    	                    	
 -8.979997 15.438086 8.335551 	 -9.139998 15.438086 6.632043 	 0.550000 15.438086 10.956332 	                    	                    	                    	                    	                    	
 -8.989997 15.343528 8.351451 	 -9.169999 15.343528 6.636881 	 0.550000 15.343528 10.989249 	                    	                    	                    	                    	                    	
 -8.999997 15.248970 8.367150 	 -9.199999 15.248970 6.641519 	 0.550000 15.248970 11.021968 	                    	                    	                    	                    	                    	
 -9.009996 15.154412 8.382650 	 -9.229999 15.154412 6.645957 	 0.550000 15.154412 11.054485 	                    	                    	                    	                    	                    	
 -9.019997 15.059855 8.397950 	 -9.259998 15.059855 6.650195 	 0.550000 15.059855 11.086803 	                    	                    	                    	                    	                    	
 -9.029997 14.965297 8.413050 	 -9.289999 14.965297 6.654233 	 0.550000 14.965297 11.118920 	                    	                    	                    	                    	                    	
 -9.039997 14.870739 8.427949 	 -9.319999 14.870739 6.658071 	 0.550000 14.870739 11.150838 	                    	                    	                    	                    	                    	
 -9.049996 14.776180 8.442649 	 -9.349998 14.776180 6.661709 	 0.550000 14.776180 11.182556 	                    	                    	                    	                    	                    	
 -9.059997 14.681623 8.457149 	 -9.379998 14.681623 6.665147 	 0.550000 14.681623 11.214074 	                    	                    	                    	                    	                    	
 -9.069997 14.587065 8.471448 	 -9.409999 14.587065 6.668385 	 0.550000 14.587065 11.245392 	                    	                    	                    	                    	                    	
 -9.079997 14.492507 8.485548 	 -9.439999 14.492507 6.671423 	 0.550000 14.492507 11.276509 	                    	                    	                    	                    	                    	
 -9.089996 14.397949 8.499448 	 -9.469998 14.397949 6.674261 	 0.550000 14.397949 11.307427 	                    	                    	                    	                    	                    	
 -9.099997 14.303391 8.513147 	 -9.499998 14.303391 6.676898 	 0.550000 14.303391 11.338145 	                    	                    	                    	                    	                    	
 -9.109997 14.208834 8.526648 	 -9.529999 14.208834 6.679337 	 0.550000 14.208834 11.368663 	                    	                    	                    	                    	                    	
 -9.119997 14.114276 8.539947 	 -9.559999 14.114276 6.681575 	 0.550000 14.114276 11.398980 	                    	                    	                    	                    	                    	
 -9.129996 14.019718 8.553046 	 -9.589998 14.019718 6.683612 	 0.550000 14.019718 11.429098 	                    	                    	                    	                    	                    	
 -9.139997 13.925159 8.565946 	 -9.619998 13.925159 6.685451 	 0.550000 13.925159 11.459016 	                    	                    	                    	                    	                    	
 -9.149997 13.830603 8.578646 	 -9.649999 13.830603 6.687088 	 0.550000 13.830603 11.488734 	                    	                    	                    	                    	                    	
 -9.159997 13.736044 8.591146 	 -9.679998 13.736044 6.688527 	 0.550000 13.736044 11.518251 	                    	                    	                    	                    	                    	
 -9.169996 13.641487 8.603445 	 -9.709998 13.641487 6.689764 	 0.550000 13.641487 11.547569 	                    	                    	                    	                    	                    	
 -9.179996 13.546928 8.615545 	 -9.739998 13.546928 6.690803 	 0.550000 13.546928 11.576687 	                    	                    	                    	                    	                    	
 -9.189997 13.452372 8.627444 	 -9.769999 13.452372 6.691640 	 0.550000 13.452372 11.605605 	                    	                    	                    	                    	                    	
 -9.199997 13.357813 8.639144 	 -9.799998 13.357813 6.692278 	 0.550000 13.357813 11.634322 	                    	                    	                    	                    	                    	
 -9.209996 13.263254 8.650644 	 -9.829998 13.263254 6.692717 	 0.550000 13.263254 11.662841 	                    	                    	                    	                    	                    	
 -9.219996 13.168697 8.661943 	 -9.859998 13.168697 6.692954 	 0.550000 13.168697 11.691158 	                    	                    	                    	                    	                    	
 -9.229997 13.074139 8.673043 	 -9.889998 13.074139 6.692992 	 0.550000 13.074139 11.719275 	                    	                    	                    	                    	                    	
 -9.239997 12.979582 8.683944 	 -9.919998 12.979582 6.692831 	 0.550000 12.979582 11.747193 	                    	                    	                    	                    	                    	
 -9.249996 12.885023 8.694643 	 -9.949998 12.885023 6.692468 	 0.550000 12.885023 11.774911 	                    	                    	                    	                    	                    	
 -9.259996 12.790466 8.705143 	 -9.979998 12.790466 6.691906 	 0.550000 12.790466 11.802429 	                    	                    	                    	                    	                    	
 -9.269997 12.695908 8.715443 	 -10.009998 12.695908 6.691144 	 0.550000 12.695908 11.829747 	                    	                    	                    	                    	                    	
 -9.279997 12.601351 8.725542 	 -10.039998 12.601351 6.690182 	 0.550000 12.601351 11.856865 	                    	                    	                    	                    	                    	
 -9.289996 12.506792 8.735442 	 -10.069998 12.506792 6.689020 	 0.550000 12.506792 11.883782 	                    	                    	                    	                    	                    	
 -9.299996 12.412233 8.745142 	 -10.099998 12.412233 6.687658 	 0.550000 12.412233 11.910501 	                    	                    	                    	                    	                    	
 -9.309997 12.317677 8.754642 	 -10.129998 12.317677 6.686096 	 0.550000 12.317677 11.937018 	                    	                    	                    	                    	                    	
 -9.319997 12.223118 8.763941 	 -10.159998 12.223118 6.684334 	 0.550000 12.223118 11.963336 	                    	                    	                    	                    	                    	
 -9.329996 12.128561 8.773041 	 -10.189998 12.128561 6.682372 	 0.550000 12.128561 11.989453 	                    	                    	                    	                    	                    	
 -9.339996 12.034002 8.781940 	 -10.219997 12.034002 6.680210 	 0.550000 12.034002 12.015371 	                    	                    	                    	                    	                    	
 -9.349997 11.939445 8.790640 	 -10.249998 11.939445 6.677848 	 0.550000 11.939445 12.041089 	                    	                    	                    	                    	                    	
 -9.359997 11.844887 8.799140 	 -10.279998 11.844887 6.675286 	 0.550000 11.844887 12.066607 	                    	                    	                    	                    	                    	
 -9.369996 11.750330 8.807440 	 -10.309998 11.750330 6.672524 	 0.550000 11.750330 12.091925 	                    	                    	                    	                    	                    	
 -9.379996 11.655771 8.815539 	 -10.339997 11.655771 6.669562 	 0.550000 11.655771 12.117043 	                    	                    	                    	                    	                    	
 -9.389997 11.561213 8.823439 	 -10.369998 11.561213 6.666400 	 0.550000 11.561213 12.141960 	                    	                    	                    	                    	                    	
