# Game Session ID 
139 
### Session Start ### 
# Game ID 
0 
# Begin play Date and Time 
 7 / 5 / 2013    13:53:39 
# With Fead back 
 True  
# With Visible Trajectory 
 False  
### Game start ### 
 # Trajectory par ball 
 Ball 0                               	 Ball 1                               	 Ball 2                               	 Ball 3                               	 Ball 4                               	 Ball 5                               	 Ball 6                               	 Ball 7                               	
X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	
 -7.439998 30.000000 3.500000 	 -4.520002 30.000000 3.500000 	 0.550000 30.000000 3.500000 	                    	                    	                    	                    	                    	
 -7.449998 29.905441 3.546700 	 -4.550002 29.905441 3.535638 	 0.550000 29.905441 3.563718 	                    	                    	                    	                    	                    	
 -7.459998 29.810884 3.593199 	 -4.580002 29.810884 3.571076 	 0.550000 29.810884 3.627235 	                    	                    	                    	                    	                    	
 -7.469998 29.716326 3.639499 	 -4.610002 29.716326 3.606314 	 0.550000 29.716326 3.690553 	                    	                    	                    	                    	                    	
 -7.479998 29.621769 3.685599 	 -4.640002 29.621769 3.641352 	 0.550000 29.621769 3.753671 	                    	                    	                    	                    	                    	
 -7.489998 29.527210 3.731498 	 -4.670002 29.527210 3.676190 	 0.550000 29.527210 3.816589 	                    	                    	                    	                    	                    	
 -7.499998 29.432652 3.777198 	 -4.700002 29.432652 3.710828 	 0.550000 29.432652 3.879307 	                    	                    	                    	                    	                    	
 -7.509998 29.338095 3.822698 	 -4.730002 29.338095 3.745265 	 0.550000 29.338095 3.941824 	                    	                    	                    	                    	                    	
 -7.519998 29.243536 3.867997 	 -4.760002 29.243536 3.779504 	 0.550000 29.243536 4.004142 	                    	                    	                    	                    	                    	
 -7.529998 29.148979 3.913097 	 -4.790002 29.148979 3.813541 	 0.550000 29.148979 4.066260 	                    	                    	                    	                    	                    	
 -7.539998 29.054420 3.957997 	 -4.820002 29.054420 3.847379 	 0.550000 29.054420 4.128178 	                    	                    	                    	                    	                    	
 -7.549998 28.959862 4.002697 	 -4.850002 28.959862 3.881017 	 0.550000 28.959862 4.189895 	                    	                    	                    	                    	                    	
 -7.559998 28.865305 4.047196 	 -4.880002 28.865305 3.914455 	 0.550000 28.865305 4.251413 	                    	                    	                    	                    	                    	
 -7.569998 28.770746 4.091496 	 -4.910002 28.770746 3.947693 	 0.550000 28.770746 4.312731 	                    	                    	                    	                    	                    	
 -7.579998 28.676189 4.135596 	 -4.940002 28.676189 3.980731 	 0.550000 28.676189 4.373848 	                    	                    	                    	                    	                    	
 -7.589998 28.581631 4.179495 	 -4.970002 28.581631 4.013569 	 0.550000 28.581631 4.434766 	                    	                    	                    	                    	                    	
 -7.599998 28.487072 4.223195 	 -5.000002 28.487072 4.046207 	 0.550000 28.487072 4.495484 	                    	                    	                    	                    	                    	
 -7.609998 28.392515 4.266695 	 -5.030002 28.392515 4.078645 	 0.550000 28.392515 4.556002 	                    	                    	                    	                    	                    	
 -7.619998 28.297956 4.309995 	 -5.060002 28.297956 4.110883 	 0.550000 28.297956 4.616320 	                    	                    	                    	                    	                    	
 -7.629998 28.203400 4.353094 	 -5.090002 28.203400 4.142921 	 0.550000 28.203400 4.676437 	                    	                    	                    	                    	                    	
 -7.639998 28.108841 4.395994 	 -5.120002 28.108841 4.174759 	 0.550000 28.108841 4.736355 	                    	                    	                    	                    	                    	
 -7.649998 28.014282 4.438694 	 -5.150002 28.014282 4.206397 	 0.550000 28.014282 4.796073 	                    	                    	                    	                    	                    	
 -7.659998 27.919725 4.481194 	 -5.180002 27.919725 4.237835 	 0.550000 27.919725 4.855591 	                    	                    	                    	                    	                    	
 -7.669998 27.825167 4.523493 	 -5.210002 27.825167 4.269073 	 0.550000 27.825167 4.914909 	                    	                    	                    	                    	                    	
 -7.679998 27.730608 4.565593 	 -5.240002 27.730608 4.300111 	 0.550000 27.730608 4.974027 	                    	                    	                    	                    	                    	
 -7.689998 27.636051 4.607492 	 -5.270002 27.636051 4.330949 	 0.550000 27.636051 5.032944 	                    	                    	                    	                    	                    	
 -7.699998 27.541492 4.649192 	 -5.300002 27.541492 4.361587 	 0.550000 27.541492 5.091662 	                    	                    	                    	                    	                    	
 -7.709998 27.446936 4.690692 	 -5.330002 27.446936 4.392025 	 0.550000 27.446936 5.150180 	                    	                    	                    	                    	                    	
 -7.719998 27.352377 4.731991 	 -5.360002 27.352377 4.422263 	 0.550000 27.352377 5.208498 	                    	                    	                    	                    	                    	
 -7.729998 27.257820 4.773091 	 -5.390002 27.257820 4.452301 	 0.550000 27.257820 5.266615 	                    	                    	                    	                    	                    	
 -7.739998 27.163261 4.813991 	 -5.420002 27.163261 4.482138 	 0.550000 27.163261 5.324533 	                    	                    	                    	                    	                    	
 -7.749998 27.068703 4.854691 	 -5.450002 27.068703 4.511776 	 0.550000 27.068703 5.382250 	                    	                    	                    	                    	                    	
 -7.759998 26.974146 4.895190 	 -5.480002 26.974146 4.541214 	 0.550000 26.974146 5.439768 	                    	                    	                    	                    	                    	
 -7.769998 26.879587 4.935490 	 -5.510002 26.879587 4.570452 	 0.550000 26.879587 5.497086 	                    	                    	                    	                    	                    	
 -7.779998 26.785030 4.975589 	 -5.540002 26.785030 4.599490 	 0.550000 26.785030 5.554204 	                    	                    	                    	                    	                    	
 -7.789998 26.690472 5.015489 	 -5.570002 26.690472 4.628328 	 0.550000 26.690472 5.611121 	                    	                    	                    	                    	                    	
 -7.799998 26.595915 5.055189 	 -5.600002 26.595915 4.656966 	 0.550000 26.595915 5.667839 	                    	                    	                    	                    	                    	
 -7.809998 26.501356 5.094688 	 -5.630002 26.501356 4.685404 	 0.550000 26.501356 5.724357 	                    	                    	                    	                    	                    	
 -7.819998 26.406799 5.133988 	 -5.660002 26.406799 4.713642 	 0.550000 26.406799 5.780674 	                    	                    	                    	                    	                    	
 -7.829998 26.312241 5.173088 	 -5.690002 26.312241 4.741680 	 0.550000 26.312241 5.836792 	                    	                    	                    	                    	                    	
 -7.839998 26.217682 5.211987 	 -5.720002 26.217682 4.769517 	 0.550000 26.217682 5.892710 	                    	                    	                    	                    	                    	
 -7.849998 26.123125 5.250687 	 -5.750002 26.123125 4.797155 	 0.550000 26.123125 5.948428 	                    	                    	                    	                    	                    	
 -7.859998 26.028568 5.289186 	 -5.780002 26.028568 4.824594 	 0.550000 26.028568 6.003945 	                    	                    	                    	                    	                    	
 -7.869998 25.934010 5.327486 	 -5.810002 25.934010 4.851831 	 0.550000 25.934010 6.059263 	                    	                    	                    	                    	                    	
 -7.879998 25.839451 5.365586 	 -5.840002 25.839451 4.878869 	 0.550000 25.839451 6.114381 	                    	                    	                    	                    	                    	
 -7.889998 25.744894 5.403486 	 -5.870002 25.744894 4.905707 	 0.550000 25.744894 6.169299 	                    	                    	                    	                    	                    	
 -7.899998 25.650335 5.441185 	 -5.900002 25.650335 4.932345 	 0.550000 25.650335 6.224016 	                    	                    	                    	                    	                    	
 -7.909998 25.555779 5.478685 	 -5.930002 25.555779 4.958783 	 0.550000 25.555779 6.278534 	                    	                    	                    	                    	                    	
 -7.919998 25.461220 5.515985 	 -5.960001 25.461220 4.985021 	 0.550000 25.461220 6.332851 	                    	                    	                    	                    	                    	
 -7.929998 25.366661 5.553084 	 -5.990002 25.366661 5.011059 	 0.550000 25.366661 6.386970 	                    	                    	                    	                    	                    	
 -7.939998 25.272104 5.589984 	 -6.020001 25.272104 5.036897 	 0.550000 25.272104 6.440887 	                    	                    	                    	                    	                    	
 -7.949998 25.177546 5.626684 	 -6.050002 25.177546 5.062535 	 0.550000 25.177546 6.494605 	                    	                    	                    	                    	                    	
 -7.959998 25.082989 5.663183 	 -6.080001 25.082989 5.087973 	 0.550000 25.082989 6.548122 	                    	                    	                    	                    	                    	
 -7.969998 24.988430 5.699483 	 -6.110002 24.988430 5.113211 	 0.550000 24.988430 6.601440 	                    	                    	                    	                    	                    	
 -7.979998 24.893873 5.735583 	 -6.140001 24.893873 5.138248 	 0.550000 24.893873 6.654558 	                    	                    	                    	                    	                    	
 -7.989998 24.799314 5.771482 	 -6.170002 24.799314 5.163086 	 0.550000 24.799314 6.707476 	                    	                    	                    	                    	                    	
 -7.999998 24.704758 5.807182 	 -6.200001 24.704758 5.187725 	 0.550000 24.704758 6.760193 	                    	                    	                    	                    	                    	
 -8.009997 24.610199 5.842681 	 -6.230001 24.610199 5.212162 	 0.550000 24.610199 6.812711 	                    	                    	                    	                    	                    	
 -8.019998 24.515640 5.877981 	 -6.260001 24.515640 5.236400 	 0.550000 24.515640 6.865029 	                    	                    	                    	                    	                    	
 -8.029998 24.421083 5.913081 	 -6.290001 24.421083 5.260438 	 0.550000 24.421083 6.917147 	                    	                    	                    	                    	                    	
 -8.039998 24.326525 5.947981 	 -6.320001 24.326525 5.284276 	 0.550000 24.326525 6.969064 	                    	                    	                    	                    	                    	
 -8.049997 24.231968 5.982680 	 -6.350001 24.231968 5.307914 	 0.550000 24.231968 7.020782 	                    	                    	                    	                    	                    	
 -8.059998 24.137409 6.017180 	 -6.380001 24.137409 5.331352 	 0.550000 24.137409 7.072300 	                    	                    	                    	                    	                    	
 -8.069998 24.042852 6.051480 	 -6.410001 24.042852 5.354590 	 0.550000 24.042852 7.123618 	                    	                    	                    	                    	                    	
 -8.079998 23.948294 6.085579 	 -6.440001 23.948294 5.377628 	 0.550000 23.948294 7.174735 	                    	                    	                    	                    	                    	
 -8.089997 23.853737 6.119479 	 -6.470001 23.853737 5.400466 	 0.550000 23.853737 7.225653 	                    	                    	                    	                    	                    	
 -8.099998 23.759178 6.153179 	 -6.500001 23.759178 5.423104 	 0.550000 23.759178 7.276371 	                    	                    	                    	                    	                    	
 -8.109998 23.664619 6.186678 	 -6.530001 23.664619 5.445541 	 0.550000 23.664619 7.326889 	                    	                    	                    	                    	                    	
 -8.119998 23.570063 6.219978 	 -6.560001 23.570063 5.467780 	 0.550000 23.570063 7.377206 	                    	                    	                    	                    	                    	
 -8.129997 23.475506 6.253078 	 -6.590001 23.475506 5.489818 	 0.550000 23.475506 7.427324 	                    	                    	                    	                    	                    	
 -8.139997 23.380947 6.285977 	 -6.620001 23.380947 5.511655 	 0.550000 23.380947 7.477242 	                    	                    	                    	                    	                    	
 -8.149998 23.286388 6.318677 	 -6.650001 23.286388 5.533293 	 0.550000 23.286388 7.526959 	                    	                    	                    	                    	                    	
 -8.159998 23.191832 6.351177 	 -6.680001 23.191832 5.554731 	 0.550000 23.191832 7.576477 	                    	                    	                    	                    	                    	
 -8.169997 23.097273 6.383476 	 -6.710001 23.097273 5.575969 	 0.550000 23.097273 7.625795 	                    	                    	                    	                    	                    	
 -8.179997 23.002716 6.415576 	 -6.740001 23.002716 5.597007 	 0.550000 23.002716 7.674912 	                    	                    	                    	                    	                    	
 -8.189998 22.908157 6.447475 	 -6.770001 22.908157 5.617845 	 0.550000 22.908157 7.723830 	                    	                    	                    	                    	                    	
 -8.199998 22.813599 6.479176 	 -6.800001 22.813599 5.638483 	 0.550000 22.813599 7.772548 	                    	                    	                    	                    	                    	
 -8.209997 22.719042 6.510675 	 -6.830001 22.719042 5.658921 	 0.550000 22.719042 7.821066 	                    	                    	                    	                    	                    	
 -8.219997 22.624485 6.541975 	 -6.860001 22.624485 5.679159 	 0.550000 22.624485 7.869383 	                    	                    	                    	                    	                    	
 -8.229998 22.529926 6.573074 	 -6.890001 22.529926 5.699197 	 0.550000 22.529926 7.917501 	                    	                    	                    	                    	                    	
 -8.239998 22.435368 6.603974 	 -6.920001 22.435368 5.719035 	 0.550000 22.435368 7.965419 	                    	                    	                    	                    	                    	
 -8.249997 22.340811 6.634674 	 -6.950001 22.340811 5.738673 	 0.550000 22.340811 8.013137 	                    	                    	                    	                    	                    	
 -8.259997 22.246252 6.665174 	 -6.980000 22.246252 5.758111 	 0.550000 22.246252 8.060655 	                    	                    	                    	                    	                    	
 -8.269998 22.151695 6.695473 	 -7.010001 22.151695 5.777349 	 0.550000 22.151695 8.107972 	                    	                    	                    	                    	                    	
 -8.279998 22.057137 6.725573 	 -7.040000 22.057137 5.796387 	 0.550000 22.057137 8.155089 	                    	                    	                    	                    	                    	
 -8.289997 21.962578 6.755472 	 -7.070001 21.962578 5.815225 	 0.550000 21.962578 8.202007 	                    	                    	                    	                    	                    	
 -8.299997 21.868021 6.785172 	 -7.100000 21.868021 5.833862 	 0.550000 21.868021 8.248725 	                    	                    	                    	                    	                    	
 -8.309998 21.773464 6.814672 	 -7.130001 21.773464 5.852300 	 0.550000 21.773464 8.295243 	                    	                    	                    	                    	                    	
 -8.319998 21.678905 6.843971 	 -7.160000 21.678905 5.870538 	 0.550000 21.678905 8.341560 	                    	                    	                    	                    	                    	
 -8.329997 21.584347 6.873071 	 -7.190001 21.584347 5.888576 	 0.550000 21.584347 8.387678 	                    	                    	                    	                    	                    	
 -8.339997 21.489790 6.901971 	 -7.220000 21.489790 5.906414 	 0.550000 21.489790 8.433597 	                    	                    	                    	                    	                    	
 -8.349998 21.395231 6.930670 	 -7.250000 21.395231 5.924052 	 0.550000 21.395231 8.479314 	                    	                    	                    	                    	                    	
 -8.359998 21.300674 6.959170 	 -7.280000 21.300674 5.941490 	 0.550000 21.300674 8.524832 	                    	                    	                    	                    	                    	
 -8.369997 21.206116 6.987470 	 -7.310000 21.206116 5.958728 	 0.550000 21.206116 8.570149 	                    	                    	                    	                    	                    	
 -8.379997 21.111557 7.015570 	 -7.340000 21.111557 5.975766 	 0.550000 21.111557 8.615267 	                    	                    	                    	                    	                    	
