# Game Session ID 
11 
### Session Start ### 
# Game ID 
0 
# Begin play Date and Time 
 7 / 5 / 2013    19:44:17 
# With Fead back 
 True  
# With Visible Trajectory 
 False  
### Game start ### 
 # Trajectory par ball 
 Ball 0                               	 Ball 1                               	 Ball 2                               	 Ball 3                               	 Ball 4                               	 Ball 5                               	 Ball 6                               	 Ball 7                               	 Ball 8                               	 Ball 9                               	
X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	
 -8.830003 30.000000 3.500000 	 -3.140001 30.000000 3.500000 	 -0.820000 30.000000 3.500000 	                    	                    	                    	                    	                    	                    	                    	
 -8.850003 29.894936 3.546700 	 -3.150001 29.894936 3.535638 	 -0.850000 29.894936 3.563718 	                    	                    	                    	                    	                    	                    	                    	
 -8.870004 29.789871 3.593199 	 -3.160001 29.789871 3.571076 	 -0.880000 29.789871 3.627235 	                    	                    	                    	                    	                    	                    	                    	
 -8.890003 29.684807 3.639499 	 -3.170001 29.684807 3.606314 	 -0.910000 29.684807 3.690553 	                    	                    	                    	                    	                    	                    	                    	
 -8.910004 29.579742 3.685599 	 -3.180001 29.579742 3.641352 	 -0.940000 29.579742 3.753671 	                    	                    	                    	                    	                    	                    	                    	
 -8.930003 29.474678 3.731498 	 -3.190001 29.474678 3.676190 	 -0.970000 29.474678 3.816589 	                    	                    	                    	                    	                    	                    	                    	
 -8.950004 29.369614 3.777198 	 -3.200001 29.369614 3.710828 	 -1.000000 29.369614 3.879307 	                    	                    	                    	                    	                    	                    	                    	
 -8.970003 29.264549 3.822698 	 -3.210001 29.264549 3.745265 	 -1.030000 29.264549 3.941824 	                    	                    	                    	                    	                    	                    	                    	
 -8.990004 29.159485 3.867997 	 -3.220001 29.159485 3.779504 	 -1.060000 29.159485 4.004142 	                    	                    	                    	                    	                    	                    	                    	
 -9.010003 29.054420 3.913097 	 -3.230001 29.054420 3.813541 	 -1.090000 29.054420 4.066260 	                    	                    	                    	                    	                    	                    	                    	
 -9.030004 28.949356 3.957997 	 -3.240001 28.949356 3.847379 	 -1.120000 28.949356 4.128178 	                    	                    	                    	                    	                    	                    	                    	
 -9.050003 28.844292 4.002697 	 -3.250001 28.844292 3.881017 	 -1.150000 28.844292 4.189895 	                    	                    	                    	                    	                    	                    	                    	
 -9.070004 28.739227 4.047196 	 -3.260001 28.739227 3.914455 	 -1.180000 28.739227 4.251413 	                    	                    	                    	                    	                    	                    	                    	
