# Game Session ID 
161 
### Session Start ### 
# Game ID 
0 
# Begin play Date and Time 
 7 / 5 / 2013    16:43:38 
# With Fead back 
 False  
# With Visible Trajectory 
 True  
### Game start ### 
 # Trajectory par ball 
 Ball 0                               	 Ball 1                               	 Ball 2                               	 Ball 3                               	 Ball 4                               	 Ball 5                               	 Ball 6                               	 Ball 7                               	 Ball 8                               	 Ball 9                               	
X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	
 -8.339998 26.007553 5.133988 	 -4.770001 26.007553 4.713642 	 -0.710000 26.007553 5.780674 	                    	                    	                    	                    	                    	                    	                    	
 -8.359999 25.902489 5.173088 	 -4.780002 25.902489 4.741680 	 -0.740000 25.902489 5.836792 	                    	                    	                    	                    	                    	                    	                    	
 -8.379998 25.797424 5.211987 	 -4.790001 25.797424 4.769517 	 -0.770000 25.797424 5.892710 	                    	                    	                    	                    	                    	                    	                    	
 -8.399999 25.692362 5.250687 	 -4.800002 25.692362 4.797155 	 -0.800000 25.692362 5.948428 	                    	                    	                    	                    	                    	                    	                    	
 -8.419998 25.587297 5.289186 	 -4.810001 25.587297 4.824594 	 -0.830000 25.587297 6.003945 	                    	                    	                    	                    	                    	                    	                    	
 -8.439999 25.482233 5.327486 	 -4.820002 25.482233 4.851831 	 -0.860000 25.482233 6.059263 	                    	                    	                    	                    	                    	                    	                    	
 -8.459998 25.377169 5.365586 	 -4.830001 25.377169 4.878869 	 -0.890000 25.377169 6.114381 	                    	                    	                    	                    	                    	                    	                    	
 -8.479999 25.272104 5.403486 	 -4.840002 25.272104 4.905707 	 -0.919999 25.272104 6.169299 	                    	                    	                    	                    	                    	                    	                    	
 -8.499998 25.167040 5.441185 	 -4.850001 25.167040 4.932345 	 -0.949999 25.167040 6.224016 	                    	                    	                    	                    	                    	                    	                    	
 -8.519999 25.061975 5.478685 	 -4.860002 25.061975 4.958783 	 -0.979999 25.061975 6.278534 	                    	                    	                    	                    	                    	                    	                    	
 -8.539998 24.956911 5.515985 	 -4.870001 24.956911 4.985021 	 -1.009999 24.956911 6.332851 	                    	                    	                    	                    	                    	                    	                    	
 -8.559999 24.851847 5.553084 	 -4.880002 24.851847 5.011059 	 -1.039999 24.851847 6.386970 	                    	                    	                    	                    	                    	                    	                    	
 -8.579998 24.746782 5.589984 	 -4.890001 24.746782 5.036897 	 -1.069999 24.746782 6.440887 	                    	                    	                    	                    	                    	                    	                    	
 -8.599998 24.641718 5.626684 	 -4.900002 24.641718 5.062535 	 -1.099999 24.641718 6.494605 	                    	                    	                    	                    	                    	                    	                    	
 -8.619998 24.536654 5.663183 	 -4.910001 24.536654 5.087973 	 -1.129999 24.536654 6.548122 	                    	                    	                    	                    	                    	                    	                    	
 -8.639998 24.431589 5.699483 	 -4.920002 24.431589 5.113211 	 -1.159999 24.431589 6.601440 	                    	                    	                    	                    	                    	                    	                    	
 -8.659998 24.326525 5.735583 	 -4.930001 24.326525 5.138248 	 -1.189999 24.326525 6.654558 	                    	                    	                    	                    	                    	                    	                    	
 -8.679998 24.221460 5.771482 	 -4.940001 24.221460 5.163086 	 -1.219999 24.221460 6.707476 	                    	                    	                    	                    	                    	                    	                    	
 -8.699998 24.116396 5.807182 	 -4.950001 24.116396 5.187725 	 -1.249999 24.116396 6.760193 	                    	                    	                    	                    	                    	                    	                    	
 -8.719998 24.011332 5.842681 	 -4.960001 24.011332 5.212162 	 -1.279999 24.011332 6.812711 	                    	                    	                    	                    	                    	                    	                    	
 -8.739998 23.906269 5.877981 	 -4.970001 23.906269 5.236400 	 -1.309999 23.906269 6.865029 	                    	                    	                    	                    	                    	                    	                    	
 -8.759998 23.801205 5.913081 	 -4.980001 23.801205 5.260438 	 -1.339999 23.801205 6.917147 	                    	                    	                    	                    	                    	                    	                    	
 -8.779998 23.696140 5.947981 	 -4.990001 23.696140 5.284276 	 -1.369999 23.696140 6.969064 	                    	                    	                    	                    	                    	                    	                    	
 -8.799998 23.591076 5.982680 	 -5.000001 23.591076 5.307914 	 -1.399999 23.591076 7.020782 	                    	                    	                    	                    	                    	                    	                    	
 -8.819998 23.486012 6.017180 	 -5.010001 23.486012 5.331352 	 -1.429999 23.486012 7.072300 	                    	                    	                    	                    	                    	                    	                    	
 -8.839998 23.380947 6.051480 	 -5.020001 23.380947 5.354590 	 -1.459999 23.380947 7.123618 	                    	                    	                    	                    	                    	                    	                    	
 -8.859998 23.275883 6.085579 	 -5.030001 23.275883 5.377628 	 -1.489999 23.275883 7.174735 	                    	                    	                    	                    	                    	                    	                    	
 -8.879998 23.170818 6.119479 	 -5.040001 23.170818 5.400466 	 -1.519999 23.170818 7.225653 	                    	                    	                    	                    	                    	                    	                    	
 -8.899998 23.065754 6.153179 	 -5.050001 23.065754 5.423104 	 -1.549999 23.065754 7.276371 	                    	                    	                    	                    	                    	                    	                    	
 -8.919998 22.960690 6.186678 	 -5.060001 22.960690 5.445541 	 -1.579999 22.960690 7.326889 	                    	                    	                    	                    	                    	                    	                    	
