# Game Session ID 
159 
### Session Start ### 
# Game ID 
0 
# Begin play Date and Time 
 7 / 5 / 2013    16:37:41 
# With Fead back 
 False  
# With Visible Trajectory 
 True  
### Game start ### 
 # Trajectory par ball 
 Ball 0                               	 Ball 1                               	 Ball 2                               	 Ball 3                               	 Ball 4                               	 Ball 5                               	 Ball 6                               	 Ball 7                               	 Ball 8                               	 Ball 9                               	
X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	
 16.619991 30.000000 3.500000 	 19.410009 30.000000 3.500000 	 24.629992 30.000000 3.500000 	                    	                    	                    	                    	                    	                    	                    	
 16.599991 29.894936 3.546700 	 19.400009 29.894936 3.535638 	 24.599991 29.894936 3.563718 	                    	                    	                    	                    	                    	                    	                    	
 16.579990 29.789871 3.593199 	 19.390009 29.789871 3.571076 	 24.569990 29.789871 3.627235 	                    	                    	                    	                    	                    	                    	                    	
 16.559990 29.684807 3.639499 	 19.380009 29.684807 3.606314 	 24.539991 29.684807 3.690553 	                    	                    	                    	                    	                    	                    	                    	
 16.539991 29.579742 3.685599 	 19.370008 29.579742 3.641352 	 24.509991 29.579742 3.753671 	                    	                    	                    	                    	                    	                    	                    	
 16.519991 29.474678 3.731498 	 19.360008 29.474678 3.676190 	 24.479990 29.474678 3.816589 	                    	                    	                    	                    	                    	                    	                    	
 16.499990 29.369614 3.777198 	 19.350010 29.369614 3.710828 	 24.449991 29.369614 3.879307 	                    	                    	                    	                    	                    	                    	                    	
 16.479990 29.264549 3.822698 	 19.340010 29.264549 3.745265 	 24.419991 29.264549 3.941824 	                    	                    	                    	                    	                    	                    	                    	
 16.459991 29.159485 3.867997 	 19.330009 29.159485 3.779504 	 24.389992 29.159485 4.004142 	                    	                    	                    	                    	                    	                    	                    	
 16.439991 29.054420 3.913097 	 19.320009 29.054420 3.813541 	 24.359991 29.054420 4.066260 	                    	                    	                    	                    	                    	                    	                    	
 16.419991 28.949356 3.957997 	 19.310009 28.949356 3.847379 	 24.329990 28.949356 4.128178 	                    	                    	                    	                    	                    	                    	                    	
 16.399990 28.844292 4.002697 	 19.300009 28.844292 3.881017 	 24.299992 28.844292 4.189895 	                    	                    	                    	                    	                    	                    	                    	
 16.379992 28.739227 4.047196 	 19.290009 28.739227 3.914455 	 24.269991 28.739227 4.251413 	                    	                    	                    	                    	                    	                    	                    	
 16.359991 28.634163 4.091496 	 19.280008 28.634163 3.947693 	 24.239990 28.634163 4.312731 	                    	                    	                    	                    	                    	                    	                    	
 16.339991 28.529099 4.135596 	 19.270010 28.529099 3.980731 	 24.209991 28.529099 4.373848 	                    	                    	                    	                    	                    	                    	                    	
 16.319990 28.424034 4.179495 	 19.260010 28.424034 4.013569 	 24.179991 28.424034 4.434766 	                    	                    	                    	                    	                    	                    	                    	
 16.299992 28.318970 4.223195 	 19.250010 28.318970 4.046207 	 24.149990 28.318970 4.495484 	                    	                    	                    	                    	                    	                    	                    	
 16.279991 28.213905 4.266695 	 19.240009 28.213905 4.078645 	 24.119991 28.213905 4.556002 	                    	                    	                    	                    	                    	                    	                    	
 16.259991 28.108841 4.309995 	 19.230009 28.108841 4.110883 	 24.089991 28.108841 4.616320 	                    	                    	                    	                    	                    	                    	                    	
 16.239990 28.003777 4.353094 	 19.220009 28.003777 4.142921 	 24.059990 28.003777 4.676437 	                    	                    	                    	                    	                    	                    	                    	
 16.219992 27.898712 4.395994 	 19.210009 27.898712 4.174759 	 24.029991 27.898712 4.736355 	                    	                    	                    	                    	                    	                    	                    	
 16.199991 27.793648 4.438694 	 19.200008 27.793648 4.206397 	 23.999990 27.793648 4.796073 	                    	                    	                    	                    	                    	                    	                    	
 16.179991 27.688583 4.481194 	 19.190010 27.688583 4.237835 	 23.969992 27.688583 4.855591 	                    	                    	                    	                    	                    	                    	                    	
 16.159990 27.583519 4.523493 	 19.180010 27.583519 4.269073 	 23.939991 27.583519 4.914909 	                    	                    	                    	                    	                    	                    	                    	
 16.139990 27.478455 4.565593 	 19.170010 27.478455 4.300111 	 23.909990 27.478455 4.974027 	                    	                    	                    	                    	                    	                    	                    	
 16.119991 27.373390 4.607492 	 19.160009 27.373390 4.330949 	 23.879992 27.373390 5.032944 	                    	                    	                    	                    	                    	                    	                    	
 16.099991 27.268326 4.649192 	 19.150009 27.268326 4.361587 	 23.849991 27.268326 5.091662 	                    	                    	                    	                    	                    	                    	                    	
 16.079990 27.163261 4.690692 	 19.140009 27.163261 4.392025 	 23.819990 27.163261 5.150180 	                    	                    	                    	                    	                    	                    	                    	
 16.059990 27.058197 4.731991 	 19.130009 27.058197 4.422263 	 23.789991 27.058197 5.208498 	                    	                    	                    	                    	                    	                    	                    	
