# Game Session ID 
162 
### Session Start ### 
# Game ID 
0 
# Begin play Date and Time 
 7 / 5 / 2013    16:46:13 
# With Fead back 
 False  
# With Visible Trajectory 
 True  
### Game start ### 
 # Throw number 1 of 30
# Type of Balls 
 Ball 0 -> Good ball 
 Ball 1 -> Bad ball 
 Ball 2 -> Ok ball 
# Trajectory par ball 
 Ball 0                               	 Ball 1                               	 Ball 2                               	 Ball 3                               	 Ball 4                               	 Ball 5                               	 Ball 6                               	 Ball 7                               	 Ball 8                               	 Ball 9                               	
X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	
 -8.530002 30.000000 3.500000 	 -3.440001 30.000000 3.500000 	 -0.520000 30.000000 3.500000 	                    	                    	                    	                    	                    	                    	                    	
 -8.550002 29.894936 3.546700 	 -3.450001 29.894936 3.535638 	 -0.550000 29.894936 3.563718 	                    	                    	                    	                    	                    	                    	                    	
 -8.570003 29.789871 3.593199 	 -3.460001 29.789871 3.571076 	 -0.580000 29.789871 3.627235 	                    	                    	                    	                    	                    	                    	                    	
 -8.590002 29.684807 3.639499 	 -3.470001 29.684807 3.606314 	 -0.610000 29.684807 3.690553 	                    	                    	                    	                    	                    	                    	                    	
 -8.610003 29.579742 3.685599 	 -3.480000 29.579742 3.641352 	 -0.640000 29.579742 3.753671 	                    	                    	                    	                    	                    	                    	                    	
 -8.630002 29.474678 3.731498 	 -3.490000 29.474678 3.676190 	 -0.670000 29.474678 3.816589 	                    	                    	                    	                    	                    	                    	                    	
 -8.650002 29.369614 3.777198 	 -3.500000 29.369614 3.710828 	 -0.700000 29.369614 3.879307 	                    	                    	                    	                    	                    	                    	                    	
 -8.670002 29.264549 3.822698 	 -3.510000 29.264549 3.745265 	 -0.730000 29.264549 3.941824 	                    	                    	                    	                    	                    	                    	                    	
 -8.690002 29.159485 3.867997 	 -3.520000 29.159485 3.779504 	 -0.760000 29.159485 4.004142 	                    	                    	                    	                    	                    	                    	                    	
 -8.710002 29.054420 3.913097 	 -3.530000 29.054420 3.813541 	 -0.790000 29.054420 4.066260 	                    	                    	                    	                    	                    	                    	                    	
 -8.730002 28.949356 3.957997 	 -3.540000 28.949356 3.847379 	 -0.820000 28.949356 4.128178 	                    	                    	                    	                    	                    	                    	                    	
 -8.750002 28.844292 4.002697 	 -3.550000 28.844292 3.881017 	 -0.850000 28.844292 4.189895 	                    	                    	                    	                    	                    	                    	                    	
 -8.770002 28.739227 4.047196 	 -3.560000 28.739227 3.914455 	 -0.880000 28.739227 4.251413 	                    	                    	                    	                    	                    	                    	                    	
 -8.790002 28.634163 4.091496 	 -3.570000 28.634163 3.947693 	 -0.910000 28.634163 4.312731 	                    	                    	                    	                    	                    	                    	                    	
 -8.810002 28.529099 4.135596 	 -3.580000 28.529099 3.980731 	 -0.940000 28.529099 4.373848 	                    	                    	                    	                    	                    	                    	                    	
 -8.830002 28.424034 4.179495 	 -3.590001 28.424034 4.013569 	 -0.970000 28.424034 4.434766 	                    	                    	                    	                    	                    	                    	                    	
 -8.850002 28.318970 4.223195 	 -3.600001 28.318970 4.046207 	 -1.000000 28.318970 4.495484 	                    	                    	                    	                    	                    	                    	                    	
 -8.870002 28.213905 4.266695 	 -3.610001 28.213905 4.078645 	 -1.030000 28.213905 4.556002 	                    	                    	                    	                    	                    	                    	                    	
 -8.890002 28.108841 4.309995 	 -3.620001 28.108841 4.110883 	 -1.060000 28.108841 4.616320 	                    	                    	                    	                    	                    	                    	                    	
 -8.910002 28.003777 4.353094 	 -3.630001 28.003777 4.142921 	 -1.090000 28.003777 4.676437 	                    	                    	                    	                    	                    	                    	                    	
 -8.930002 27.898712 4.395994 	 -3.640001 27.898712 4.174759 	 -1.120000 27.898712 4.736355 	                    	                    	                    	                    	                    	                    	                    	
 -8.950002 27.793648 4.438694 	 -3.650001 27.793648 4.206397 	 -1.150000 27.793648 4.796073 	                    	                    	                    	                    	                    	                    	                    	
