# Game Session ID 
163 
### Session Start ### 
# Game ID 
0 
# Begin play Date and Time 
 7 / 5 / 2013    16:47:50 
# With Fead back 
 False  
# With Visible Trajectory 
 True  
### Game start ### 
 # Throw number 1 of 30
# Type of Balls 
 Ball 0 -> Good ball 
 Ball 1 -> Bad ball 
 Ball 2 -> Ok ball 
# Trajectory par ball 
 Ball 0                               	 Ball 1                               	 Ball 2                               	 Ball 3                               	 Ball 4                               	 Ball 5                               	 Ball 6                               	 Ball 7                               	 Ball 8                               	 Ball 9                               	
X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	
 -8.130000 30.000000 3.500000 	 -3.840000 30.000000 3.500000 	 -0.120000 30.000000 3.500000 	                    	                    	                    	                    	                    	                    	                    	
 -8.150001 29.894936 3.546700 	 -3.850000 29.894936 3.535638 	 -0.150000 29.894936 3.563718 	                    	                    	                    	                    	                    	                    	                    	
 -8.170001 29.789871 3.593199 	 -3.860000 29.789871 3.571076 	 -0.180000 29.789871 3.627235 	                    	                    	                    	                    	                    	                    	                    	
 -8.190001 29.684807 3.639499 	 -3.870000 29.684807 3.606314 	 -0.210000 29.684807 3.690553 	                    	                    	                    	                    	                    	                    	                    	
 -8.210001 29.579742 3.685599 	 -3.880000 29.579742 3.641352 	 -0.240000 29.579742 3.753671 	                    	                    	                    	                    	                    	                    	                    	
 -8.230000 29.474678 3.731498 	 -3.890000 29.474678 3.676190 	 -0.270000 29.474678 3.816589 	                    	                    	                    	                    	                    	                    	                    	
 -8.250001 29.369614 3.777198 	 -3.900000 29.369614 3.710828 	 -0.300000 29.369614 3.879307 	                    	                    	                    	                    	                    	                    	                    	
 -8.270000 29.264549 3.822698 	 -3.910000 29.264549 3.745265 	 -0.330000 29.264549 3.941824 	                    	                    	                    	                    	                    	                    	                    	
 -8.290001 29.159485 3.867997 	 -3.920000 29.159485 3.779504 	 -0.360000 29.159485 4.004142 	                    	                    	                    	                    	                    	                    	                    	
 -8.310000 29.054420 3.913097 	 -3.930000 29.054420 3.813541 	 -0.390000 29.054420 4.066260 	                    	                    	                    	                    	                    	                    	                    	
 -8.330001 28.949356 3.957997 	 -3.940000 28.949356 3.847379 	 -0.420000 28.949356 4.128178 	                    	                    	                    	                    	                    	                    	                    	
 -8.350000 28.844292 4.002697 	 -3.950000 28.844292 3.881017 	 -0.450000 28.844292 4.189895 	                    	                    	                    	                    	                    	                    	                    	
 -8.370001 28.739227 4.047196 	 -3.960000 28.739227 3.914455 	 -0.480000 28.739227 4.251413 	                    	                    	                    	                    	                    	                    	                    	
 -8.390000 28.634163 4.091496 	 -3.970000 28.634163 3.947693 	 -0.510000 28.634163 4.312731 	                    	                    	                    	                    	                    	                    	                    	
 -8.410001 28.529099 4.135596 	 -3.980000 28.529099 3.980731 	 -0.540000 28.529099 4.373848 	                    	                    	                    	                    	                    	                    	                    	
 -8.430000 28.424034 4.179495 	 -3.990000 28.424034 4.013569 	 -0.570000 28.424034 4.434766 	                    	                    	                    	                    	                    	                    	                    	
 -8.450001 28.318970 4.223195 	 -4.000000 28.318970 4.046207 	 -0.600000 28.318970 4.495484 	                    	                    	                    	                    	                    	                    	                    	
 -8.470000 28.213905 4.266695 	 -4.010000 28.213905 4.078645 	 -0.630000 28.213905 4.556002 	                    	                    	                    	                    	                    	                    	                    	
 -8.490001 28.108841 4.309995 	 -4.020000 28.108841 4.110883 	 -0.660000 28.108841 4.616320 	                    	                    	                    	                    	                    	                    	                    	
 -8.510000 28.003777 4.353094 	 -4.030000 28.003777 4.142921 	 -0.690000 28.003777 4.676437 	                    	                    	                    	                    	                    	                    	                    	
 -8.530001 27.898712 4.395994 	 -4.040000 27.898712 4.174759 	 -0.720000 27.898712 4.736355 	                    	                    	                    	                    	                    	                    	                    	
 -8.550000 27.793648 4.438694 	 -4.050000 27.793648 4.206397 	 -0.750000 27.793648 4.796073 	                    	                    	                    	                    	                    	                    	                    	
 -8.570001 27.688583 4.481194 	 -4.060000 27.688583 4.237835 	 -0.780000 27.688583 4.855591 	                    	                    	                    	                    	                    	                    	                    	
 -8.590001 27.583519 4.523493 	 -4.070000 27.583519 4.269073 	 -0.810000 27.583519 4.914909 	                    	                    	                    	                    	                    	                    	                    	
 -8.610001 27.478455 4.565593 	 -4.080000 27.478455 4.300111 	 -0.840000 27.478455 4.974027 	                    	                    	                    	                    	                    	                    	                    	
 -8.630001 27.373390 4.607492 	 -4.090000 27.373390 4.330949 	 -0.870000 27.373390 5.032944 	                    	                    	                    	                    	                    	                    	                    	
 -8.650001 27.268326 4.649192 	 -4.100000 27.268326 4.361587 	 -0.900000 27.268326 5.091662 	                    	                    	                    	                    	                    	                    	                    	
 -8.670001 27.163261 4.690692 	 -4.110000 27.163261 4.392025 	 -0.930000 27.163261 5.150180 	                    	                    	                    	                    	                    	                    	                    	
 -8.690001 27.058197 4.731991 	 -4.120000 27.058197 4.422263 	 -0.960000 27.058197 5.208498 	                    	                    	                    	                    	                    	                    	                    	
