# Game Session ID 
137 
### Session Start ### 
# Game ID 
0 
# Begin play Date and Time 
 7 / 5 / 2013    13:48:53 
# With Fead back 
 True  
# With Visible Trajectory 
 False  
### Game start ### 
 # Trajectory par ball 
 Ball 0                               	 Ball 1                               	 Ball 2                               	 Ball 3                               	 Ball 4                               	 Ball 5                               	 Ball 6                               	 Ball 7                               	
X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	
 -8.240001 30.000000 3.500000 	 -3.720000 30.000000 3.500000 	 -0.250000 30.000000 3.500000 	                    	                    	                    	                    	                    	
 -8.250001 29.905441 3.546700 	 -3.750000 29.905441 3.535638 	 -0.250000 29.905441 3.563718 	                    	                    	                    	                    	                    	
 -8.260001 29.810884 3.593199 	 -3.780000 29.810884 3.571076 	 -0.250000 29.810884 3.627235 	                    	                    	                    	                    	                    	
 -8.270001 29.716326 3.639499 	 -3.810000 29.716326 3.606314 	 -0.250000 29.716326 3.690553 	                    	                    	                    	                    	                    	
 -8.280001 29.621769 3.685599 	 -3.840000 29.621769 3.641352 	 -0.250000 29.621769 3.753671 	                    	                    	                    	                    	                    	
 -8.290001 29.527210 3.731498 	 -3.870000 29.527210 3.676190 	 -0.250000 29.527210 3.816589 	                    	                    	                    	                    	                    	
 -8.300001 29.432652 3.777198 	 -3.900000 29.432652 3.710828 	 -0.250000 29.432652 3.879307 	                    	                    	                    	                    	                    	
 -8.310001 29.338095 3.822698 	 -3.930000 29.338095 3.745265 	 -0.250000 29.338095 3.941824 	                    	                    	                    	                    	                    	
 -8.320001 29.243536 3.867997 	 -3.960000 29.243536 3.779504 	 -0.250000 29.243536 4.004142 	                    	                    	                    	                    	                    	
 -8.330001 29.148979 3.913097 	 -3.990000 29.148979 3.813541 	 -0.250000 29.148979 4.066260 	                    	                    	                    	                    	                    	
 -8.340001 29.054420 3.957997 	 -4.020000 29.054420 3.847379 	 -0.250000 29.054420 4.128178 	                    	                    	                    	                    	                    	
 -8.350001 28.959862 4.002697 	 -4.050000 28.959862 3.881017 	 -0.250000 28.959862 4.189895 	                    	                    	                    	                    	                    	
 -8.360001 28.865305 4.047196 	 -4.080000 28.865305 3.914455 	 -0.250000 28.865305 4.251413 	                    	                    	                    	                    	                    	
 -8.370001 28.770746 4.091496 	 -4.110000 28.770746 3.947693 	 -0.250000 28.770746 4.312731 	                    	                    	                    	                    	                    	
 -8.380001 28.676189 4.135596 	 -4.140000 28.676189 3.980731 	 -0.250000 28.676189 4.373848 	                    	                    	                    	                    	                    	
 -8.390001 28.581631 4.179495 	 -4.170000 28.581631 4.013569 	 -0.250000 28.581631 4.434766 	                    	                    	                    	                    	                    	
 -8.400001 28.487072 4.223195 	 -4.200000 28.487072 4.046207 	 -0.250000 28.487072 4.495484 	                    	                    	                    	                    	                    	
 -8.410001 28.392515 4.266695 	 -4.230000 28.392515 4.078645 	 -0.250000 28.392515 4.556002 	                    	                    	                    	                    	                    	
 -8.420001 28.297956 4.309995 	 -4.260000 28.297956 4.110883 	 -0.250000 28.297956 4.616320 	                    	                    	                    	                    	                    	
 -8.430001 28.203400 4.353094 	 -4.290000 28.203400 4.142921 	 -0.250000 28.203400 4.676437 	                    	                    	                    	                    	                    	
 -8.440001 28.108841 4.395994 	 -4.320000 28.108841 4.174759 	 -0.250000 28.108841 4.736355 	                    	                    	                    	                    	                    	
 -8.450001 28.014282 4.438694 	 -4.350000 28.014282 4.206397 	 -0.250000 28.014282 4.796073 	                    	                    	                    	                    	                    	
 -8.460001 27.919725 4.481194 	 -4.380000 27.919725 4.237835 	 -0.250000 27.919725 4.855591 	                    	                    	                    	                    	                    	
 -8.470001 27.825167 4.523493 	 -4.410000 27.825167 4.269073 	 -0.250000 27.825167 4.914909 	                    	                    	                    	                    	                    	
 -8.480001 27.730608 4.565593 	 -4.440001 27.730608 4.300111 	 -0.250000 27.730608 4.974027 	                    	                    	                    	                    	                    	
 -8.490001 27.636051 4.607492 	 -4.470000 27.636051 4.330949 	 -0.250000 27.636051 5.032944 	                    	                    	                    	                    	                    	
 -8.500001 27.541492 4.649192 	 -4.500000 27.541492 4.361587 	 -0.250000 27.541492 5.091662 	                    	                    	                    	                    	                    	
 -8.510001 27.446936 4.690692 	 -4.530000 27.446936 4.392025 	 -0.250000 27.446936 5.150180 	                    	                    	                    	                    	                    	
 -8.520001 27.352377 4.731991 	 -4.560000 27.352377 4.422263 	 -0.250000 27.352377 5.208498 	                    	                    	                    	                    	                    	
 -8.530001 27.257820 4.773091 	 -4.590000 27.257820 4.452301 	 -0.250000 27.257820 5.266615 	                    	                    	                    	                    	                    	
 -8.540001 27.163261 4.813991 	 -4.620000 27.163261 4.482138 	 -0.250000 27.163261 5.324533 	                    	                    	                    	                    	                    	
 -8.550001 27.068703 4.854691 	 -4.650000 27.068703 4.511776 	 -0.250000 27.068703 5.382250 	                    	                    	                    	                    	                    	
 -8.560001 26.974146 4.895190 	 -4.680000 26.974146 4.541214 	 -0.250000 26.974146 5.439768 	                    	                    	                    	                    	                    	
 -8.570001 26.879587 4.935490 	 -4.710000 26.879587 4.570452 	 -0.250000 26.879587 5.497086 	                    	                    	                    	                    	                    	
 -8.580001 26.785030 4.975589 	 -4.740000 26.785030 4.599490 	 -0.250000 26.785030 5.554204 	                    	                    	                    	                    	                    	
 -8.590001 26.690472 5.015489 	 -4.770000 26.690472 4.628328 	 -0.250000 26.690472 5.611121 	                    	                    	                    	                    	                    	
 -8.600001 26.595915 5.055189 	 -4.800000 26.595915 4.656966 	 -0.250000 26.595915 5.667839 	                    	                    	                    	                    	                    	
 -8.610001 26.501356 5.094688 	 -4.830000 26.501356 4.685404 	 -0.250000 26.501356 5.724357 	                    	                    	                    	                    	                    	
 -8.620001 26.406799 5.133988 	 -4.860000 26.406799 4.713642 	 -0.250000 26.406799 5.780674 	                    	                    	                    	                    	                    	
 -8.630001 26.312241 5.173088 	 -4.890000 26.312241 4.741680 	 -0.250000 26.312241 5.836792 	                    	                    	                    	                    	                    	
 -8.640001 26.217682 5.211987 	 -4.920000 26.217682 4.769517 	 -0.250000 26.217682 5.892710 	                    	                    	                    	                    	                    	
 -8.650001 26.123125 5.250687 	 -4.950000 26.123125 4.797155 	 -0.250000 26.123125 5.948428 	                    	                    	                    	                    	                    	
 -8.660001 26.028568 5.289186 	 -4.980000 26.028568 4.824594 	 -0.250000 26.028568 6.003945 	                    	                    	                    	                    	                    	
 -8.670001 25.934010 5.327486 	 -5.010000 25.934010 4.851831 	 -0.250000 25.934010 6.059263 	                    	                    	                    	                    	                    	
 -8.680001 25.839451 5.365586 	 -5.040000 25.839451 4.878869 	 -0.250000 25.839451 6.114381 	                    	                    	                    	                    	                    	
 -8.690001 25.744894 5.403486 	 -5.070000 25.744894 4.905707 	 -0.250000 25.744894 6.169299 	                    	                    	                    	                    	                    	
 -8.700001 25.650335 5.441185 	 -5.100000 25.650335 4.932345 	 -0.250000 25.650335 6.224016 	                    	                    	                    	                    	                    	
