# Game Session ID 
160 
### Session Start ### 
# Game ID 
0 
# Begin play Date and Time 
 7 / 5 / 2013    16:38:40 
# With Fead back 
 False  
# With Visible Trajectory 
 True  
### Game start ### 
 # Trajectory par ball 
 Ball 0                               	 Ball 1                               	 Ball 2                               	 Ball 3                               	 Ball 4                               	 Ball 5                               	 Ball 6                               	 Ball 7                               	 Ball 8                               	 Ball 9                               	
X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	
 15.469997 30.000000 3.500000 	 20.559992 30.000000 3.500000 	 23.480009 30.000000 3.500000 	                    	                    	                    	                    	                    	                    	                    	
 15.449997 29.894936 3.546700 	 20.549992 29.894936 3.535638 	 23.450008 29.894936 3.563718 	                    	                    	                    	                    	                    	                    	                    	
 15.429996 29.789871 3.593199 	 20.539991 29.789871 3.571076 	 23.420008 29.789871 3.627235 	                    	                    	                    	                    	                    	                    	                    	
 15.409997 29.684807 3.639499 	 20.529991 29.684807 3.606314 	 23.390009 29.684807 3.690553 	                    	                    	                    	                    	                    	                    	                    	
 15.389997 29.579742 3.685599 	 20.519991 29.579742 3.641352 	 23.360008 29.579742 3.753671 	                    	                    	                    	                    	                    	                    	                    	
 15.369997 29.474678 3.731498 	 20.509991 29.474678 3.676190 	 23.330008 29.474678 3.816589 	                    	                    	                    	                    	                    	                    	                    	
 15.349997 29.369614 3.777198 	 20.499992 29.369614 3.710828 	 23.300009 29.369614 3.879307 	                    	                    	                    	                    	                    	                    	                    	
 15.329997 29.264549 3.822698 	 20.489992 29.264549 3.745265 	 23.270008 29.264549 3.941824 	                    	                    	                    	                    	                    	                    	                    	
 15.309997 29.159485 3.867997 	 20.479992 29.159485 3.779504 	 23.240009 29.159485 4.004142 	                    	                    	                    	                    	                    	                    	                    	
 15.289997 29.054420 3.913097 	 20.469992 29.054420 3.813541 	 23.210009 29.054420 4.066260 	                    	                    	                    	                    	                    	                    	                    	
 15.269997 28.949356 3.957997 	 20.459991 28.949356 3.847379 	 23.180008 28.949356 4.128178 	                    	                    	                    	                    	                    	                    	                    	
 15.249997 28.844292 4.002697 	 20.449991 28.844292 3.881017 	 23.150009 28.844292 4.189895 	                    	                    	                    	                    	                    	                    	                    	
 15.229997 28.739227 4.047196 	 20.439991 28.739227 3.914455 	 23.120008 28.739227 4.251413 	                    	                    	                    	                    	                    	                    	                    	
 15.209997 28.634163 4.091496 	 20.429991 28.634163 3.947693 	 23.090008 28.634163 4.312731 	                    	                    	                    	                    	                    	                    	                    	
 15.189997 28.529099 4.135596 	 20.419992 28.529099 3.980731 	 23.060009 28.529099 4.373848 	                    	                    	                    	                    	                    	                    	                    	
 15.169997 28.424034 4.179495 	 20.409992 28.424034 4.013569 	 23.030008 28.424034 4.434766 	                    	                    	                    	                    	                    	                    	                    	
 15.149997 28.318970 4.223195 	 20.399992 28.318970 4.046207 	 23.000008 28.318970 4.495484 	                    	                    	                    	                    	                    	                    	                    	
 15.129997 28.213905 4.266695 	 20.389992 28.213905 4.078645 	 22.970009 28.213905 4.556002 	                    	                    	                    	                    	                    	                    	                    	
 15.109997 28.108841 4.309995 	 20.379992 28.108841 4.110883 	 22.940008 28.108841 4.616320 	                    	                    	                    	                    	                    	                    	                    	
 15.089997 28.003777 4.353094 	 20.369991 28.003777 4.142921 	 22.910007 28.003777 4.676437 	                    	                    	                    	                    	                    	                    	                    	
 15.069997 27.898712 4.395994 	 20.359991 27.898712 4.174759 	 22.880009 27.898712 4.736355 	                    	                    	                    	                    	                    	                    	                    	
 15.049997 27.793648 4.438694 	 20.349991 27.793648 4.206397 	 22.850008 27.793648 4.796073 	                    	                    	                    	                    	                    	                    	                    	
 15.029997 27.688583 4.481194 	 20.339993 27.688583 4.237835 	 22.820009 27.688583 4.855591 	                    	                    	                    	                    	                    	                    	                    	
 15.009996 27.583519 4.523493 	 20.329992 27.583519 4.269073 	 22.790009 27.583519 4.914909 	                    	                    	                    	                    	                    	                    	                    	
 14.989997 27.478455 4.565593 	 20.319992 27.478455 4.300111 	 22.760008 27.478455 4.974027 	                    	                    	                    	                    	                    	                    	                    	
 14.969996 27.373390 4.607492 	 20.309992 27.373390 4.330949 	 22.730009 27.373390 5.032944 	                    	                    	                    	                    	                    	                    	                    	
 14.949997 27.268326 4.649192 	 20.299992 27.268326 4.361587 	 22.700008 27.268326 5.091662 	                    	                    	                    	                    	                    	                    	                    	
 14.929996 27.163261 4.690692 	 20.289991 27.163261 4.392025 	 22.670008 27.163261 5.150180 	                    	                    	                    	                    	                    	                    	                    	
 14.909997 27.058197 4.731991 	 20.279991 27.058197 4.422263 	 22.640009 27.058197 5.208498 	                    	                    	                    	                    	                    	                    	                    	
 14.889997 26.953133 4.773091 	 20.269991 26.953133 4.452301 	 22.610008 26.953133 5.266615 	                    	                    	                    	                    	                    	                    	                    	
 14.869997 26.848068 4.813991 	 20.259991 26.848068 4.482138 	 22.580008 26.848068 5.324533 	                    	                    	                    	                    	                    	                    	                    	
 14.849997 26.743004 4.854691 	 20.249992 26.743004 4.511776 	 22.550009 26.743004 5.382250 	                    	                    	                    	                    	                    	                    	                    	
 14.829997 26.637939 4.895190 	 20.239992 26.637939 4.541214 	 22.520008 26.637939 5.439768 	                    	                    	                    	                    	                    	                    	                    	
 14.809997 26.532875 4.935490 	 20.229992 26.532875 4.570452 	 22.490009 26.532875 5.497086 	                    	                    	                    	                    	                    	                    	                    	
 14.789997 26.427811 4.975589 	 20.219992 26.427811 4.599490 	 22.460009 26.427811 5.554204 	                    	                    	                    	                    	                    	                    	                    	
